lat,lng,time_bucket,major_head,year,count
11.48,76.67,Night,BURGLARY - NIGHT,2024,3
11.55,76.56,Night,BURGLARY - NIGHT,2022,1
11.55,76.56,Night,BURGLARY - NIGHT,2023,1
11.71,76.81,Night,BURGLARY - NIGHT,2022,1
11.78,77.07,Daytime,BURGLARY - DAY,2019,1
11.78,77.08,Daytime,BURGLARY - DAY,2019,1
11.81,76.68,Daytime,BURGLARY - DAY,2019,1
11.81,76.68,Night,BURGLARY - NIGHT,2019,1
11.81,76.68,Night,BURGLARY - NIGHT,2020,1
11.81,76.69,Daytime,BURGLARY - DAY,2019,1
11.81,76.69,Daytime,BURGLARY - DAY,2020,1
11.81,76.69,Night,BURGLARY - NIGHT,2023,2
11.81,76.79,Daytime,BURGLARY - DAY,2019,1
11.82,76.68,Night,BURGLARY - NIGHT,2019,1
11.82,76.69,Night,BURGLARY - NIGHT,2019,1
11.83,77.01,Daytime,BURGLARY - DAY,2019,1
11.83,77.01,Daytime,BURGLARY - DAY,2024,1
11.84,76.38,Night,BURGLARY - NIGHT,2024,1
11.86,76.67,Night,BURGLARY - NIGHT,2023,1
11.9,76.95,Night,BURGLARY - NIGHT,2019,1
11.91,76.93,Daytime,BURGLARY - DAY,2019,1
11.91,76.94,Daytime,BURGLARY - DAY,2019,2
11.92,76.67,Night,BURGLARY - NIGHT,2020,1
11.92,76.94,Night,BURGLARY - NIGHT,2023,1
11.92,76.95,Daytime,BURGLARY - DAY,2021,2
11.93,76.93,Night,BURGLARY - NIGHT,2023,1
11.93,76.94,Night,BURGLARY - NIGHT,2023,1
11.93,77.01,Night,BURGLARY - NIGHT,2024,1
11.94,76.49,Night,BURGLARY - NIGHT,2020,1
11.94,76.49,Night,BURGLARY - NIGHT,2021,1
11.94,76.5,Night,BURGLARY - NIGHT,2021,1
11.94,76.55,Daytime,BURGLARY - DAY,2019,1
11.94,76.67,Night,BURGLARY - NIGHT,2023,3
11.94,77.05,Night,BURGLARY - NIGHT,2019,1
11.95,76.67,Night,BURGLARY - NIGHT,2020,1
11.96,77.02,Night,BURGLARY - NIGHT,2019,1
11.97,76.01,Night,BURGLARY - NIGHT,2020,1
11.97,76.05,Night,BURGLARY - NIGHT,2021,1
11.97,76.99,Night,BURGLARY - NIGHT,2019,4
11.99,76.01,Daytime,BURGLARY - DAY,2022,1
11.99,76.35,Daytime,BURGLARY - DAY,2019,1
11.99,76.51,Night,BURGLARY - NIGHT,2021,1
11.99,77.04,Night,BURGLARY - NIGHT,2023,1
12.0,74.0,Night,BURGLARY - NIGHT,2023,1
12.0,75.94,Night,BURGLARY - NIGHT,2022,1
12.0,76.4,Night,BURGLARY - NIGHT,2023,3
12.0,76.4,Night,BURGLARY - NIGHT,2024,2
12.0,76.85,Daytime,BURGLARY - DAY,2023,1
12.0,76.92,Night,BURGLARY - NIGHT,2020,1
12.0,77.0,Night,BURGLARY - NIGHT,2023,2
12.0,77.01,Night,BURGLARY - NIGHT,2023,1
12.0,77.03,Night,BURGLARY - NIGHT,2024,1
12.0,77.09,Night,BURGLARY - NIGHT,2023,1
12.0,77.39,Daytime,BURGLARY - DAY,2019,1
12.0,77.4,Night,BURGLARY - NIGHT,2019,2
12.01,76.05,Night,BURGLARY - NIGHT,2020,1
12.01,76.07,Night,BURGLARY - NIGHT,2023,1
12.01,76.99,Night,BURGLARY - NIGHT,2024,1
12.01,77.03,Night,BURGLARY - NIGHT,2023,1
12.01,77.07,Night,BURGLARY - NIGHT,2023,1
12.01,77.21,Night,BURGLARY - NIGHT,2023,1
12.01,77.95,Night,BURGLARY - NIGHT,2023,1
12.02,75.54,Daytime,BURGLARY - DAY,2023,1
12.02,75.94,Daytime,BURGLARY - DAY,2021,1
12.02,76.23,Night,BURGLARY - NIGHT,2023,1
12.02,76.23,Night,BURGLARY - NIGHT,2024,2
12.02,76.56,Night,BURGLARY - NIGHT,2019,1
12.02,76.68,Night,BURGLARY - NIGHT,2023,1
12.02,76.89,Night,BURGLARY - NIGHT,2023,1
12.02,76.89,Night,BURGLARY - NIGHT,2024,1
12.03,75.93,Night,BURGLARY - NIGHT,2021,1
12.03,76.04,Night,BURGLARY - NIGHT,2019,1
12.03,76.33,Night,BURGLARY - NIGHT,2024,1
12.03,76.8,Night,BURGLARY - NIGHT,2024,1
12.03,77.35,Daytime,BURGLARY - DAY,2018,1
12.03,77.59,Night,BURGLARY - NIGHT,2023,1
12.04,74.12,Night,BURGLARY - NIGHT,2024,1
12.04,75.97,Night,BURGLARY - NIGHT,2023,1
12.04,76.01,Night,BURGLARY - NIGHT,2019,1
12.04,76.91,Daytime,BURGLARY - DAY,2019,1
12.04,77.03,Night,BURGLARY - NIGHT,2019,1
12.04,77.35,Night,BURGLARY - NIGHT,2019,1
12.04,77.36,Night,BURGLARY - NIGHT,2023,1
12.04,77.41,Night,BURGLARY - NIGHT,2024,1
12.05,76.39,Night,BURGLARY - NIGHT,2023,1
12.05,76.91,Night,BURGLARY - NIGHT,2019,1
12.05,76.98,Night,BURGLARY - NIGHT,2023,1
12.05,77.0,Night,BURGLARY - NIGHT,2024,1
12.05,77.03,Night,BURGLARY - NIGHT,2023,1
12.05,77.23,Daytime,BURGLARY - DAY,2024,1
12.06,75.93,Night,BURGLARY - NIGHT,2021,1
12.06,75.96,Daytime,BURGLARY - DAY,2020,1
12.06,75.97,Night,BURGLARY - NIGHT,2020,1
12.06,76.36,Night,BURGLARY - NIGHT,2019,1
12.06,76.91,Night,BURGLARY - NIGHT,2023,1
12.06,76.99,Night,BURGLARY - NIGHT,2019,1
12.06,77.03,Night,BURGLARY - NIGHT,2023,1
12.06,77.7,Night,BURGLARY - NIGHT,2020,1
12.07,76.05,Night,BURGLARY - NIGHT,2020,1
12.07,76.49,Night,BURGLARY - NIGHT,2021,1
12.07,76.52,Night,BURGLARY - NIGHT,2021,1
12.07,76.75,Night,BURGLARY - NIGHT,2019,1
12.07,77.41,Daytime,BURGLARY - DAY,2021,1
12.07,77.44,Night,BURGLARY - NIGHT,2019,1
12.07,77.45,Night,BURGLARY - NIGHT,2024,1
12.07,77.51,Daytime,BURGLARY - DAY,2020,1
12.08,75.94,Night,BURGLARY - NIGHT,2020,1
12.08,76.02,Night,BURGLARY - NIGHT,2022,1
12.08,76.34,Daytime,BURGLARY - DAY,2019,1
12.08,76.5,Night,BURGLARY - NIGHT,2021,1
12.08,77.15,Night,BURGLARY - NIGHT,2019,1
12.08,77.36,Night,BURGLARY - NIGHT,2021,1
12.08,77.66,Night,BURGLARY - NIGHT,2023,1
12.08,77.68,Night,BURGLARY - NIGHT,2023,1
12.08,77.7,Night,BURGLARY - NIGHT,2023,1
12.09,75.94,Daytime,BURGLARY - DAY,2022,1
12.09,76.0,Night,BURGLARY - NIGHT,2022,1
12.09,76.33,Daytime,BURGLARY - DAY,2023,1
12.09,76.33,Night,BURGLARY - NIGHT,2019,1
12.09,76.33,Night,BURGLARY - NIGHT,2023,2
12.09,76.55,Night,BURGLARY - NIGHT,2021,2
12.09,76.58,Night,BURGLARY - NIGHT,2021,1
12.09,76.81,Night,BURGLARY - NIGHT,2024,1
12.09,77.31,Night,BURGLARY - NIGHT,2019,1
12.09,77.37,Night,BURGLARY - NIGHT,2023,1
12.1,75.87,Daytime,BURGLARY - DAY,2022,1
12.1,75.87,Night,BURGLARY - NIGHT,2022,1
12.1,76.31,Daytime,BURGLARY - DAY,2019,1
12.1,76.52,Night,BURGLARY - NIGHT,2020,1
12.1,76.56,Night,BURGLARY - NIGHT,2021,1
12.1,76.68,Night,BURGLARY - NIGHT,2019,1
12.1,76.68,Night,BURGLARY - NIGHT,2020,1
12.1,76.92,Daytime,BURGLARY - DAY,2019,1
12.1,77.49,Daytime,BURGLARY - DAY,2020,1
12.1,77.49,Night,BURGLARY - NIGHT,2023,1
12.1,77.54,Night,BURGLARY - NIGHT,2019,1
12.1,77.56,Daytime,BURGLARY - DAY,2018,1
12.1,77.57,Daytime,BURGLARY - DAY,2017,2
12.1,77.57,Night,BURGLARY - NIGHT,2018,1
12.1,77.57,Night,BURGLARY - NIGHT,2019,1
12.11,75.93,Daytime,BURGLARY - DAY,2019,1
12.11,76.07,Night,BURGLARY - NIGHT,2022,1
12.11,76.33,Night,BURGLARY - NIGHT,2024,1
12.11,76.56,Night,BURGLARY - NIGHT,2019,1
12.11,76.66,Night,BURGLARY - NIGHT,2019,1
12.11,76.67,Daytime,BURGLARY - DAY,2024,2
12.11,76.67,Night,BURGLARY - NIGHT,2019,4
12.11,76.67,Night,BURGLARY - NIGHT,2023,1
12.11,76.67,Night,BURGLARY - NIGHT,2024,3
12.11,76.68,Night,BURGLARY - NIGHT,2023,1
12.11,76.68,Night,BURGLARY - NIGHT,2024,1
12.11,76.82,Daytime,BURGLARY - DAY,2023,1
12.11,76.89,Night,BURGLARY - NIGHT,2021,1
12.11,76.93,Night,BURGLARY - NIGHT,2021,1
12.11,77.08,Night,BURGLARY - NIGHT,2023,1
12.11,77.99,Night,BURGLARY - NIGHT,2016,1
12.12,75.12,Daytime,BURGLARY - DAY,2024,1
12.12,75.12,Night,BURGLARY - NIGHT,2022,1
12.12,75.12,Night,BURGLARY - NIGHT,2023,6
12.12,75.12,Night,BURGLARY - NIGHT,2024,2
12.12,75.56,Night,BURGLARY - NIGHT,2023,1
12.12,75.91,Daytime,BURGLARY - DAY,2020,1
12.12,76.0,Night,BURGLARY - NIGHT,2021,1
12.12,76.07,Night,BURGLARY - NIGHT,2024,1
12.12,76.12,Daytime,BURGLARY - DAY,2022,2
12.12,76.12,Night,BURGLARY - NIGHT,2023,7
12.12,76.12,Night,BURGLARY - NIGHT,2024,1
12.12,76.13,Night,BURGLARY - NIGHT,2023,2
12.12,76.16,Night,BURGLARY - NIGHT,2024,3
12.12,76.56,Night,BURGLARY - NIGHT,2019,1
12.12,76.66,Night,BURGLARY - NIGHT,2023,1
12.12,76.69,Daytime,BURGLARY - DAY,2023,1
12.12,76.69,Night,BURGLARY - NIGHT,2023,1
12.12,77.0,Night,BURGLARY - NIGHT,2023,1
12.12,77.12,Night,BURGLARY - NIGHT,2022,1
12.12,77.12,Night,BURGLARY - NIGHT,2023,2
12.12,77.12,Night,BURGLARY - NIGHT,2024,1
12.13,75.12,Night,BURGLARY - NIGHT,2023,1
12.13,75.9,Night,BURGLARY - NIGHT,2019,1
12.13,76.95,Night,BURGLARY - NIGHT,2019,1
12.13,77.03,Night,BURGLARY - NIGHT,2024,1
12.13,77.23,Daytime,BURGLARY - DAY,2023,1
12.13,77.23,Night,BURGLARY - NIGHT,2023,1
12.13,77.24,Daytime,BURGLARY - DAY,2019,1
12.13,77.25,Night,BURGLARY - NIGHT,2019,1
12.14,75.94,Night,BURGLARY - NIGHT,2021,1
12.14,75.94,Night,BURGLARY - NIGHT,2022,1
12.14,76.05,Night,BURGLARY - NIGHT,2019,1
12.14,76.55,Night,BURGLARY - NIGHT,2020,1
12.14,76.59,Night,BURGLARY - NIGHT,2019,1
12.14,76.64,Night,BURGLARY - NIGHT,2019,2
12.14,76.95,Night,BURGLARY - NIGHT,2020,1
12.14,77.23,Daytime,BURGLARY - DAY,2019,1
12.14,77.86,Daytime,BURGLARY - DAY,2016,1
12.15,75.9,Night,BURGLARY - NIGHT,2022,1
12.15,75.94,Daytime,BURGLARY - DAY,2020,1
12.15,75.94,Night,BURGLARY - NIGHT,2021,1
12.15,75.95,Daytime,BURGLARY - DAY,2020,1
12.15,75.96,Daytime,BURGLARY - DAY,2021,1
12.15,75.98,Night,BURGLARY - NIGHT,2020,1
12.15,75.99,Night,BURGLARY - NIGHT,2024,1
12.15,76.13,Night,BURGLARY - NIGHT,2024,1
12.15,77.01,Night,BURGLARY - NIGHT,2023,1
12.15,77.1,Night,BURGLARY - NIGHT,2019,2
12.15,77.11,Daytime,BURGLARY - DAY,2019,1
12.15,77.11,Night,BURGLARY - NIGHT,2021,1
12.15,77.12,Night,BURGLARY - NIGHT,2021,2
12.15,77.15,Daytime,BURGLARY - DAY,2019,1
12.15,77.16,Night,BURGLARY - NIGHT,2020,1
12.15,77.21,Daytime,BURGLARY - DAY,2019,1
12.15,77.21,Night,BURGLARY - NIGHT,2019,3
12.15,77.21,Night,BURGLARY - NIGHT,2021,1
12.15,77.49,Night,BURGLARY - NIGHT,2023,1
12.16,75.55,Night,BURGLARY - NIGHT,2023,1
12.16,75.89,Night,BURGLARY - NIGHT,2023,1
12.16,75.94,Night,BURGLARY - NIGHT,2019,2
12.16,75.94,Night,BURGLARY - NIGHT,2022,1
12.16,76.08,Night,BURGLARY - NIGHT,2020,1
12.16,76.08,Night,BURGLARY - NIGHT,2022,1
12.16,76.66,Night,BURGLARY - NIGHT,2019,1
12.16,76.67,Night,BURGLARY - NIGHT,2019,1
12.16,76.7,Night,BURGLARY - NIGHT,2020,1
12.16,76.72,Night,BURGLARY - NIGHT,2019,1
12.16,77.02,Night,BURGLARY - NIGHT,2024,1
12.16,77.11,Night,BURGLARY - NIGHT,2019,1
12.16,77.11,Night,BURGLARY - NIGHT,2021,3
12.16,77.19,Night,BURGLARY - NIGHT,2021,1
12.16,77.35,Night,BURGLARY - NIGHT,2019,1
12.17,75.83,Night,BURGLARY - NIGHT,2019,1
12.17,75.85,Night,BURGLARY - NIGHT,2019,1
12.17,75.88,Daytime,BURGLARY - DAY,2024,1
12.17,75.88,Night,BURGLARY - NIGHT,2021,1
12.17,75.93,Night,BURGLARY - NIGHT,2019,1
12.17,76.03,Night,BURGLARY - NIGHT,2019,1
12.17,76.57,Night,BURGLARY - NIGHT,2023,1
12.17,76.68,Night,BURGLARY - NIGHT,2019,1
12.17,76.75,Night,BURGLARY - NIGHT,2019,1
12.17,76.75,Night,BURGLARY - NIGHT,2023,1
12.17,76.76,Night,BURGLARY - NIGHT,2019,1
12.17,76.86,Night,BURGLARY - NIGHT,2024,1
12.17,77.21,Night,BURGLARY - NIGHT,2019,1
12.18,75.81,Daytime,BURGLARY - DAY,2021,1
12.18,75.83,Night,BURGLARY - NIGHT,2022,1
12.18,75.87,Daytime,BURGLARY - DAY,2023,2
12.18,75.92,Daytime,BURGLARY - DAY,2021,1
12.18,75.93,Night,BURGLARY - NIGHT,2021,1
12.18,75.93,Night,BURGLARY - NIGHT,2022,1
12.18,75.97,Daytime,BURGLARY - DAY,2023,1
12.18,75.98,Night,BURGLARY - NIGHT,2023,2
12.18,75.99,Daytime,BURGLARY - DAY,2023,1
12.18,75.99,Night,BURGLARY - NIGHT,2023,1
12.18,76.37,Night,BURGLARY - NIGHT,2020,1
12.18,76.47,Night,BURGLARY - NIGHT,2020,1
12.18,76.67,Night,BURGLARY - NIGHT,2019,1
12.18,77.1,Night,BURGLARY - NIGHT,2024,1
12.19,75.7,Daytime,BURGLARY - DAY,2022,1
12.19,75.73,Night,BURGLARY - NIGHT,2024,1
12.19,75.76,Night,BURGLARY - NIGHT,2019,1
12.19,75.8,Night,BURGLARY - NIGHT,2021,1
12.19,75.8,Night,BURGLARY - NIGHT,2022,1
12.19,75.8,Night,BURGLARY - NIGHT,2023,1
12.19,75.81,Daytime,BURGLARY - DAY,2019,1
12.19,75.81,Night,BURGLARY - NIGHT,2021,1
12.19,75.81,Night,BURGLARY - NIGHT,2022,1
12.19,75.92,Night,BURGLARY - NIGHT,2023,1
12.19,75.93,Night,BURGLARY - NIGHT,2019,1
12.19,75.94,Night,BURGLARY - NIGHT,2019,1
12.19,75.96,Night,BURGLARY - NIGHT,2021,1
12.19,75.97,Night,BURGLARY - NIGHT,2019,1
12.19,76.26,Night,BURGLARY - NIGHT,2023,1
12.19,76.37,Night,BURGLARY - NIGHT,2023,1
12.19,76.42,Night,BURGLARY - NIGHT,2023,1
12.19,76.62,Night,BURGLARY - NIGHT,2019,1
12.19,76.8,Night,BURGLARY - NIGHT,2019,1
12.19,77.11,Daytime,BURGLARY - DAY,2019,1
12.19,77.13,Night,BURGLARY - NIGHT,2019,1
12.2,75.81,Daytime,BURGLARY - DAY,2020,1
12.2,75.93,Night,BURGLARY - NIGHT,2021,1
12.2,76.33,Night,BURGLARY - NIGHT,2019,1
12.2,76.55,Night,BURGLARY - NIGHT,2023,4
12.2,77.04,Daytime,BURGLARY - DAY,2023,1
12.2,77.12,Night,BURGLARY - NIGHT,2023,2
12.2,77.71,Night,BURGLARY - NIGHT,2021,1
12.21,76.28,Night,BURGLARY - NIGHT,2019,2
12.21,76.32,Night,BURGLARY - NIGHT,2023,1
12.21,76.73,Night,BURGLARY - NIGHT,2020,1
12.21,76.9,Night,BURGLARY - NIGHT,2020,1
12.21,76.9,Night,BURGLARY - NIGHT,2023,1
