district,dow,month,season,count
Bagalkote,0,1,Winter,382
Bagalkote,0,2,Winter,426
Bagalkote,0,3,Summer,362
Bagalkote,0,4,Summer,351
Bagalkote,0,5,Summer,385
Bagalkote,0,6,Monsoon,234
Bagalkote,0,7,Monsoon,284
Bagalkote,0,8,Monsoon,277
Bagalkote,0,9,Monsoon,245
Bagalkote,0,10,Post-Monsoon,339
Bagalkote,0,11,Post-Monsoon,292
Bagalkote,0,12,Winter,293
Bagalkote,1,1,Winter,412
Bagalkote,1,2,Winter,455
Bagalkote,1,3,Summer,404
Bagalkote,1,4,Summer,338
Bagalkote,1,5,Summer,330
Bagalkote,1,6,Monsoon,319
Bagalkote,1,7,Monsoon,301
Bagalkote,1,8,Monsoon,324
Bagalkote,1,9,Monsoon,279
Bagalkote,1,10,Post-Monsoon,369
Bagalkote,1,11,Post-Monsoon,341
Bagalkote,1,12,Winter,269
Bagalkote,2,1,Winter,388
Bagalkote,2,2,Winter,488
Bagalkote,2,3,Summer,376
Bagalkote,2,4,Summer,334
Bagalkote,2,5,Summer,339
Bagalkote,2,6,Monsoon,359
Bagalkote,2,7,Monsoon,300
Bagalkote,2,8,Monsoon,312
Bagalkote,2,9,Monsoon,291
Bagalkote,2,10,Post-Monsoon,350
Bagalkote,2,11,Post-Monsoon,360
Bagalkote,2,12,Winter,267
Bagalkote,3,1,Winter,364
Bagalkote,3,2,Winter,536
Bagalkote,3,3,Summer,440
Bagalkote,3,4,Summer,380
Bagalkote,3,5,Summer,290
Bagalkote,3,6,Monsoon,340
Bagalkote,3,7,Monsoon,289
Bagalkote,3,8,Monsoon,329
Bagalkote,3,9,Monsoon,326
Bagalkote,3,10,Post-Monsoon,313
Bagalkote,3,11,Post-Monsoon,347
Bagalkote,3,12,Winter,276
Bagalkote,4,1,Winter,355
Bagalkote,4,2,Winter,466
Bagalkote,4,3,Summer,459
Bagalkote,4,4,Summer,360
Bagalkote,4,5,Summer,282
Bagalkote,4,6,Monsoon,362
Bagalkote,4,7,Monsoon,281
Bagalkote,4,8,Monsoon,307
Bagalkote,4,9,Monsoon,310
Bagalkote,4,10,Post-Monsoon,310
Bagalkote,4,11,Post-Monsoon,312
Bagalkote,4,12,Winter,326
Bagalkote,5,1,Winter,347
Bagalkote,5,2,Winter,425
Bagalkote,5,3,Summer,422
Bagalkote,5,4,Summer,362
Bagalkote,5,5,Summer,292
Bagalkote,5,6,Monsoon,311
Bagalkote,5,7,Monsoon,335
Bagalkote,5,8,Monsoon,330
Bagalkote,5,9,Monsoon,341
Bagalkote,5,10,Post-Monsoon,325
Bagalkote,5,11,Post-Monsoon,270
Bagalkote,5,12,Winter,299
Bagalkote,6,1,Winter,303
Bagalkote,6,2,Winter,381
Bagalkote,6,3,Summer,304
Bagalkote,6,4,Summer,304
Bagalkote,6,5,Summer,310
Bagalkote,6,6,Monsoon,270
Bagalkote,6,7,Monsoon,295
Bagalkote,6,8,Monsoon,270
Bagalkote,6,9,Monsoon,274
Bagalkote,6,10,Post-Monsoon,269
Bagalkote,6,11,Post-Monsoon,271
Bagalkote,6,12,Winter,278
Ballari,0,1,Winter,387
Ballari,0,2,Winter,351
Ballari,0,3,Summer,366
Ballari,0,4,Summer,370
Ballari,0,5,Summer,381
Ballari,0,6,Monsoon,292
Ballari,0,7,Monsoon,373
Ballari,0,8,Monsoon,338
Ballari,0,9,Monsoon,268
Ballari,0,10,Post-Monsoon,352
Ballari,0,11,Post-Monsoon,287
Ballari,0,12,Winter,255
Ballari,1,1,Winter,350
Ballari,1,2,Winter,408
Ballari,1,3,Summer,342
Ballari,1,4,Summer,332
Ballari,1,5,Summer,387
Ballari,1,6,Monsoon,342
Ballari,1,7,Monsoon,387
Ballari,1,8,Monsoon,385
Ballari,1,9,Monsoon,293
Ballari,1,10,Post-Monsoon,370
Ballari,1,11,Post-Monsoon,354
Ballari,1,12,Winter,296
Ballari,2,1,Winter,381
Ballari,2,2,Winter,439
Ballari,2,3,Summer,442
Ballari,2,4,Summer,359
Ballari,2,5,Summer,360
Ballari,2,6,Monsoon,316
Ballari,2,7,Monsoon,359
Ballari,2,8,Monsoon,368
Ballari,2,9,Monsoon,347
Ballari,2,10,Post-Monsoon,286
Ballari,2,11,Post-Monsoon,353
Ballari,2,12,Winter,288
Ballari,3,1,Winter,335
Ballari,3,2,Winter,438
Ballari,3,3,Summer,416
Ballari,3,4,Summer,365
Ballari,3,5,Summer,348
Ballari,3,6,Monsoon,338
Ballari,3,7,Monsoon,315
Ballari,3,8,Monsoon,397
Ballari,3,9,Monsoon,369
Ballari,3,10,Post-Monsoon,354
Ballari,3,11,Post-Monsoon,323
Ballari,3,12,Winter,338
Ballari,4,1,Winter,356
Ballari,4,2,Winter,361
Ballari,4,3,Summer,408
Ballari,4,4,Summer,361
Ballari,4,5,Summer,330
Ballari,4,6,Monsoon,303
Ballari,4,7,Monsoon,329
Ballari,4,8,Monsoon,341
Ballari,4,9,Monsoon,344
Ballari,4,10,Post-Monsoon,353
Ballari,4,11,Post-Monsoon,329
Ballari,4,12,Winter,356
Ballari,5,1,Winter,377
Ballari,5,2,Winter,398
Ballari,5,3,Summer,415
Ballari,5,4,Summer,387
Ballari,5,5,Summer,306
Ballari,5,6,Monsoon,307
Ballari,5,7,Monsoon,390
Ballari,5,8,Monsoon,294
Ballari,5,9,Monsoon,305
Ballari,5,10,Post-Monsoon,344
Ballari,5,11,Post-Monsoon,275
Ballari,5,12,Winter,326
Ballari,6,1,Winter,288
Ballari,6,2,Winter,290
Ballari,6,3,Summer,325
Ballari,6,4,Summer,315
Ballari,6,5,Summer,299
Ballari,6,6,Monsoon,215
Ballari,6,7,Monsoon,302
Ballari,6,8,Monsoon,263
Ballari,6,9,Monsoon,229
Ballari,6,10,Post-Monsoon,277
Ballari,6,11,Post-Monsoon,215
Ballari,6,12,Winter,213
Belagavi,0,1,Winter,1098
Belagavi,0,2,Winter,1441
Belagavi,0,3,Summer,1019
Belagavi,0,4,Summer,913
Belagavi,0,5,Summer,1025
Belagavi,0,6,Monsoon,901
Belagavi,0,7,Monsoon,881
Belagavi,0,8,Monsoon,938
Belagavi,0,9,Monsoon,795
Belagavi,0,10,Post-Monsoon,927
Belagavi,0,11,Post-Monsoon,814
Belagavi,0,12,Winter,771
Belagavi,1,1,Winter,1171
Belagavi,1,2,Winter,1432
Belagavi,1,3,Summer,1181
Belagavi,1,4,Summer,933
Belagavi,1,5,Summer,1020
Belagavi,1,6,Monsoon,977
Belagavi,1,7,Monsoon,868
Belagavi,1,8,Monsoon,943
Belagavi,1,9,Monsoon,827
Belagavi,1,10,Post-Monsoon,888
Belagavi,1,11,Post-Monsoon,927
Belagavi,1,12,Winter,875
Belagavi,2,1,Winter,1078
Belagavi,2,2,Winter,1353
Belagavi,2,3,Summer,1226
Belagavi,2,4,Summer,944
Belagavi,2,5,Summer,996
Belagavi,2,6,Monsoon,1047
Belagavi,2,7,Monsoon,848
Belagavi,2,8,Monsoon,945
Belagavi,2,9,Monsoon,821
Belagavi,2,10,Post-Monsoon,889
Belagavi,2,11,Post-Monsoon,844
Belagavi,2,12,Winter,825
Belagavi,3,1,Winter,1028
Belagavi,3,2,Winter,1289
Belagavi,3,3,Summer,1330
Belagavi,3,4,Summer,967
Belagavi,3,5,Summer,916
Belagavi,3,6,Monsoon,1012
Belagavi,3,7,Monsoon,800
Belagavi,3,8,Monsoon,989
Belagavi,3,9,Monsoon,932
Belagavi,3,10,Post-Monsoon,893
Belagavi,3,11,Post-Monsoon,864
Belagavi,3,12,Winter,803
Belagavi,4,1,Winter,1075
Belagavi,4,2,Winter,1125
Belagavi,4,3,Summer,1188
Belagavi,4,4,Summer,954
Belagavi,4,5,Summer,955
Belagavi,4,6,Monsoon,875
Belagavi,4,7,Monsoon,881
Belagavi,4,8,Monsoon,913
Belagavi,4,9,Monsoon,874
Belagavi,4,10,Post-Monsoon,894
Belagavi,4,11,Post-Monsoon,835
Belagavi,4,12,Winter,854
Belagavi,5,1,Winter,1002
Belagavi,5,2,Winter,1285
Belagavi,5,3,Summer,1182
Belagavi,5,4,Summer,936
Belagavi,5,5,Summer,911
Belagavi,5,6,Monsoon,965
Belagavi,5,7,Monsoon,955
Belagavi,5,8,Monsoon,920
Belagavi,5,9,Monsoon,886
Belagavi,5,10,Post-Monsoon,921
Belagavi,5,11,Post-Monsoon,758
Belagavi,5,12,Winter,944
Belagavi,6,1,Winter,946
Belagavi,6,2,Winter,1080
Belagavi,6,3,Summer,954
Belagavi,6,4,Summer,911
Belagavi,6,5,Summer,907
Belagavi,6,6,Monsoon,766
Belagavi,6,7,Monsoon,813
Belagavi,6,8,Monsoon,822
Belagavi,6,9,Monsoon,724
Belagavi,6,10,Post-Monsoon,815
Belagavi,6,11,Post-Monsoon,643
Belagavi,6,12,Winter,773
Bengaluru Rural,0,1,Winter,958
Bengaluru Rural,0,2,Winter,1012
Bengaluru Rural,0,3,Summer,793
Bengaluru Rural,0,4,Summer,756
Bengaluru Rural,0,5,Summer,793
Bengaluru Rural,0,6,Monsoon,787
Bengaluru Rural,0,7,Monsoon,792
Bengaluru Rural,0,8,Monsoon,820
Bengaluru Rural,0,9,Monsoon,716
Bengaluru Rural,0,10,Post-Monsoon,788
Bengaluru Rural,0,11,Post-Monsoon,714
Bengaluru Rural,0,12,Winter,751
Bengaluru Rural,1,1,Winter,922
Bengaluru Rural,1,2,Winter,960
Bengaluru Rural,1,3,Summer,812
Bengaluru Rural,1,4,Summer,733
Bengaluru Rural,1,5,Summer,785
Bengaluru Rural,1,6,Monsoon,833
Bengaluru Rural,1,7,Monsoon,783
Bengaluru Rural,1,8,Monsoon,867
Bengaluru Rural,1,9,Monsoon,734
Bengaluru Rural,1,10,Post-Monsoon,747
Bengaluru Rural,1,11,Post-Monsoon,770
Bengaluru Rural,1,12,Winter,707
Bengaluru Rural,2,1,Winter,928
Bengaluru Rural,2,2,Winter,928
Bengaluru Rural,2,3,Summer,858
Bengaluru Rural,2,4,Summer,709
Bengaluru Rural,2,5,Summer,711
Bengaluru Rural,2,6,Monsoon,818
Bengaluru Rural,2,7,Monsoon,718
Bengaluru Rural,2,8,Monsoon,880
Bengaluru Rural,2,9,Monsoon,677
Bengaluru Rural,2,10,Post-Monsoon,702
Bengaluru Rural,2,11,Post-Monsoon,759
Bengaluru Rural,2,12,Winter,708
Bengaluru Rural,3,1,Winter,815
Bengaluru Rural,3,2,Winter,961
Bengaluru Rural,3,3,Summer,877
Bengaluru Rural,3,4,Summer,772
Bengaluru Rural,3,5,Summer,736
Bengaluru Rural,3,6,Monsoon,865
Bengaluru Rural,3,7,Monsoon,692
Bengaluru Rural,3,8,Monsoon,836
Bengaluru Rural,3,9,Monsoon,756
Bengaluru Rural,3,10,Post-Monsoon,722
Bengaluru Rural,3,11,Post-Monsoon,748
Bengaluru Rural,3,12,Winter,772
Bengaluru Rural,4,1,Winter,799
Bengaluru Rural,4,2,Winter,905
Bengaluru Rural,4,3,Summer,846
Bengaluru Rural,4,4,Summer,765
Bengaluru Rural,4,5,Summer,650
Bengaluru Rural,4,6,Monsoon,800
Bengaluru Rural,4,7,Monsoon,747
Bengaluru Rural,4,8,Monsoon,660
Bengaluru Rural,4,9,Monsoon,733
Bengaluru Rural,4,10,Post-Monsoon,683
Bengaluru Rural,4,11,Post-Monsoon,681
Bengaluru Rural,4,12,Winter,743
Bengaluru Rural,5,1,Winter,958
Bengaluru Rural,5,2,Winter,832
Bengaluru Rural,5,3,Summer,791
Bengaluru Rural,5,4,Summer,773
Bengaluru Rural,5,5,Summer,599
Bengaluru Rural,5,6,Monsoon,742
Bengaluru Rural,5,7,Monsoon,841
Bengaluru Rural,5,8,Monsoon,731
Bengaluru Rural,5,9,Monsoon,770
Bengaluru Rural,5,10,Post-Monsoon,738
Bengaluru Rural,5,11,Post-Monsoon,677
Bengaluru Rural,5,12,Winter,740
Bengaluru Rural,6,1,Winter,803
Bengaluru Rural,6,2,Winter,708
Bengaluru Rural,6,3,Summer,618
Bengaluru Rural,6,4,Summer,634
Bengaluru Rural,6,5,Summer,554
Bengaluru Rural,6,6,Monsoon,577
Bengaluru Rural,6,7,Monsoon,656
Bengaluru Rural,6,8,Monsoon,594
Bengaluru Rural,6,9,Monsoon,596
Bengaluru Rural,6,10,Post-Monsoon,613
Bengaluru Rural,6,11,Post-Monsoon,558
Bengaluru Rural,6,12,Winter,608
Bengaluru Urban,0,1,Winter,5477
Bengaluru Urban,0,2,Winter,6019
Bengaluru Urban,0,3,Summer,5563
Bengaluru Urban,0,4,Summer,5354
Bengaluru Urban,0,5,Summer,5218
Bengaluru Urban,0,6,Monsoon,5069
Bengaluru Urban,0,7,Monsoon,6438
Bengaluru Urban,0,8,Monsoon,6103
Bengaluru Urban,0,9,Monsoon,5506
Bengaluru Urban,0,10,Post-Monsoon,5535
Bengaluru Urban,0,11,Post-Monsoon,5206
Bengaluru Urban,0,12,Winter,5373
Bengaluru Urban,1,1,Winter,5924
Bengaluru Urban,1,2,Winter,5861
Bengaluru Urban,1,3,Summer,5790
Bengaluru Urban,1,4,Summer,5104
Bengaluru Urban,1,5,Summer,5134
Bengaluru Urban,1,6,Monsoon,5412
Bengaluru Urban,1,7,Monsoon,6088
Bengaluru Urban,1,8,Monsoon,6824
Bengaluru Urban,1,9,Monsoon,5307
Bengaluru Urban,1,10,Post-Monsoon,5522
Bengaluru Urban,1,11,Post-Monsoon,5473
Bengaluru Urban,1,12,Winter,5312
Bengaluru Urban,2,1,Winter,5525
Bengaluru Urban,2,2,Winter,5483
Bengaluru Urban,2,3,Summer,5961
Bengaluru Urban,2,4,Summer,4841
Bengaluru Urban,2,5,Summer,4878
Bengaluru Urban,2,6,Monsoon,5364
Bengaluru Urban,2,7,Monsoon,5695
Bengaluru Urban,2,8,Monsoon,6390
Bengaluru Urban,2,9,Monsoon,5716
Bengaluru Urban,2,10,Post-Monsoon,5134
