unit_name,canonical_name,parent_district,kgis_code,count,n_with_coord,mean_lat,mean_lng
Amengad PS,Bagalkote,Bagalkote,02,1310,1310,16.051777,75.925074
Badami PS,Bagalkote,Bagalkote,02,1671,1671,15.918358,75.665075
Bagalkot CEN Crime PS,Bagalkote,Bagalkote,02,230,230,16.182087,75.625045
Bagalkot Rural PS,Bagalkote,Bagalkote,02,2070,2070,16.187954,75.727541
Bagalkot Town PS,Bagalkote,Bagalkote,02,950,950,16.158805,75.665235
Bagalkot Traffic PS,Bagalkote,Bagalkote,02,527,527,16.253659,75.607051
Bagalkot Women PS,Bagalkote,Bagalkote,02,203,203,16.143633,75.665545
Banahatti PS,Bagalkote,Bagalkote,02,1157,1157,16.471525,75.139408
Bilagi PS,Bagalkote,Bagalkote,02,1765,1765,16.348923,75.59725
Guledagudda PS,Bagalkote,Bagalkote,02,905,905,16.002898,75.750732
Hungunda PS,Bagalkote,Bagalkote,02,1602,1602,16.075839,76.057274
Ilakal PS,Bagalkote,Bagalkote,02,1173,1173,15.919712,76.105256
Ilakal Rural PS,Bagalkote,Bagalkote,02,921,921,15.972352,76.133668
Jamakhandi Rural PS,Bagalkote,Bagalkote,02,1461,1461,16.506945,75.284001
Jamakhandi Town PS,Bagalkote,Bagalkote,02,1276,1276,16.502149,75.279038
Kaladagi PS,Bagalkote,Bagalkote,02,1005,1005,16.200236,75.515532
Kerur PS,Bagalkote,Bagalkote,02,1687,1687,16.023443,75.543191
Lokapur PS,Bagalkote,Bagalkote,02,1293,1293,16.170585,75.355579
Mahalingapur PS,Bagalkote,Bagalkote,02,1123,1123,16.395999,75.107441
Mudhol PS,Bagalkote,Bagalkote,02,2508,2508,16.333223,75.284209
Navanagara PS,Bagalkote,Bagalkote,02,1250,1250,16.159934,75.66073
Savalgi PS,Bagalkote,Bagalkote,02,1193,1193,16.65756,75.356073
Teradal PS,Bagalkote,Bagalkote,02,843,843,16.488702,75.058825
APMC Yard PS,Ballari,Ballari,12,651,651,15.803103,74.756973
Ballari CEN Crime PS,Ballari,Ballari,12,381,381,15.147067,76.89582
Ballari Women PS,Ballari,Ballari,12,1343,1343,15.153126,76.919392
Bellary Rural PS,Ballari,Ballari,12,3177,3177,15.279366,76.832423
Bellary Traffic PS,Ballari,Ballari,12,1284,1284,15.336725,76.809038
Brucepet PS,Ballari,Ballari,12,2110,2110,15.32994,76.820229
Choranuru PS,Ballari,Ballari,12,251,251,14.935463,76.525822
Cowlbazar PS,Ballari,Ballari,12,2298,2298,15.139062,76.898413
Gadiganur PS,Ballari,Ballari,12,566,566,15.225608,76.588908
Gandhinagar PS,Ballari,Ballari,12,1396,1396,15.146128,76.929863
Hatcholli PS,Ballari,Ballari,12,557,557,15.787107,76.987346
Kampli  PS,Ballari,Ballari,12,1446,1446,15.403757,76.59965
Kuduthini PS,Ballari,Ballari,12,1314,1314,15.210501,76.759846
Kurugod PS,Ballari,Ballari,12,2004,2004,15.342843,76.834986
Moka PS,Ballari,Ballari,12,1288,1288,15.249846,77.055649
P.D. Halli PS,Ballari,Ballari,12,791,791,15.142733,77.054483
Sandur PS,Ballari,Ballari,12,1532,1532,15.083099,76.54209
Sirigeri PS,Ballari,Ballari,12,1189,1189,15.441214,76.85289
Siruguppa PS,Ballari,Ballari,12,2441,2441,15.636933,76.900104
Tekkalkota PS,Ballari,Ballari,12,1128,1128,15.536431,76.862539
Thoranagal PS,Ballari,Ballari,12,1279,1279,15.192423,76.670988
Aigali PS,Belagavi,Belagavi,01,1517,1517,16.773908,75.248388
Ankalgi PS,Belagavi,Belagavi,01,736,736,16.0289,74.69647
Ankali PS,Belagavi,Belagavi,01,1011,1011,16.539138,74.670086
Athani PS,Belagavi,Belagavi,01,3848,3848,16.727514,75.054634
Bailahongal PS,Belagavi,Belagavi,01,2631,2631,15.80271,74.841263
Basaweshwar Chowk PS,Belagavi,Belagavi,01,690,690,16.416068,74.379249
Belagavi CEN Crime PS,Belagavi,Belagavi,01,194,194,16.046859,74.714013
Belagavi Women PS,Belagavi,Belagavi,01,15,15,15.706733,75.016979
Chikkodi PS,Belagavi,Belagavi,01,2344,2344,16.407384,74.599543
Chikkodi Town Traffic PS,Belagavi,Belagavi,01,575,575,16.287253,74.741541
Doddawad PS,Belagavi,Belagavi,01,832,832,15.684064,74.936989
Ghataprabha PS,Belagavi,Belagavi,01,2433,2433,16.241197,74.788464
Gokak Rural PS,Belagavi,Belagavi,01,1922,1922,16.138373,74.812563
Gokak Town PS,Belagavi,Belagavi,01,1649,1649,16.165455,74.820666
Harugeri PS,Belagavi,Belagavi,01,1827,1827,16.498523,74.941894
Hukkeri PS,Belagavi,Belagavi,01,1710,1710,16.2429,74.618012
Kagwad PS,Belagavi,Belagavi,01,1784,1784,16.689021,74.764862
Katkol PS,Belagavi,Belagavi,01,1902,1902,15.988234,75.161436
Khadakalat PS,Belagavi,Belagavi,01,599,599,16.433034,74.472858
Khanapur PS,Belagavi,Belagavi,01,2956,2956,15.637681,74.495936
Kittur PS,Belagavi,Belagavi,01,2026,2026,15.612813,74.779654
Kudachi PS,Belagavi,Belagavi,01,1379,1379,16.607816,74.856085
Kulgod PS,Belagavi,Belagavi,01,1436,1436,16.234549,75.047816
Mudalgi PS,Belagavi,Belagavi,01,1579,1579,16.332455,74.960901
Murgod PS,Belagavi,Belagavi,01,2628,2628,15.886334,74.949598
Nandagad PS,Belagavi,Belagavi,01,1557,1557,15.575878,74.605147
Nesargi PS,Belagavi,Belagavi,01,1025,1025,15.904539,74.772631
Nippani Rural PS,Belagavi,Belagavi,01,1311,1311,16.418981,74.369665
Nippani Town PS,Belagavi,Belagavi,01,1140,1140,16.393567,74.382447
Raibag PS,Belagavi,Belagavi,01,2747,2747,16.474299,74.779694
Ramadurga PS,Belagavi,Belagavi,01,1810,1810,15.947172,75.31563
Sadalaga PS,Belagavi,Belagavi,01,1732,1732,16.541211,74.510936
Sankeshwar PS,Belagavi,Belagavi,01,2301,2301,16.256747,74.47283
Soundatti PS,Belagavi,Belagavi,01,3262,3262,15.774122,75.11848
Yamakanmardi PS,Belagavi,Belagavi,01,2461,2461,16.126142,74.537098
APMC Yard PS,Belagavi City,Belagavi,01,1662,1662,15.883686,74.508655
Bagewadi PS,Belagavi City,Belagavi,01,1303,1303,15.757716,74.610229
Belagavi City CEN Crime PS,Belagavi City,Belagavi,01,425,425,15.867174,74.522902
Belagavi City Women PS,Belagavi City,Belagavi,01,676,676,15.859523,74.512491
Belagavi Rural PS,Belagavi City,Belagavi,01,1803,1803,15.816825,74.492669
Belgaum North Traffic PS,Belagavi City,Belagavi,01,1359,1359,15.953337,74.812425
Belgaum South Traffic PS,Belagavi City,Belagavi,01,1030,1030,16.006749,74.704265
Camp PS,Belagavi City,Belagavi,01,857,857,16.048991,74.748364
Kakati PS,Belagavi City,Belagavi,01,2264,2264,15.936556,74.513062
Khadebazar PS,Belagavi City,Belagavi,01,1071,1071,15.861264,74.511043
Malamaruthi PS,Belagavi City,Belagavi,01,1649,1649,15.877405,74.533525
Marihal PS,Belagavi City,Belagavi,01,1677,1677,15.885376,74.648654
Market PS,Belagavi City,Belagavi,01,2081,2081,16.041581,74.744861
Shahapura PS,Belagavi City,Belagavi,01,1075,1075,15.834723,74.51657
Tilakwadi PS,Belagavi City,Belagavi,01,1108,1108,15.831037,74.506129
Udyambag PS,Belagavi City,Belagavi,01,837,837,15.819094,74.491816
Adugodi PS,Bengaluru City,Bengaluru Urban,20,2181,2181,12.942321,77.606476
Adugodi Traffic PS,Bengaluru City,Bengaluru Urban,20,1191,1191,12.934413,77.592743
Airport PS,Bengaluru City,Bengaluru Urban,20,232,232,12.63009,77.42509
