major_head,sub_head,count
CASES OF HURT,Simple Hurt,116146
MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,104111
CrPC,Security For Good Behaviour (Sec 107 ),84259
MISSING PERSON,Women,79391
CYBER CRIME,"Information Technology Act 2000, 2009",78501
MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,78430
THEFT,Of Automobiles - Of Two Wheelers,77822
Karnataka State Local Act,Karnataka Excise Act 1965,60577
MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,56928
KARNATAKA POLICE ACT 1963,Street Gambling (87),52619
CHEATING,CHEATING,48674
MISSING PERSON,Man,44437
KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),44075
PUBLIC SAFETY,Public Safety,42378
CrPC,Security For Good Behaviour (Sec 110),36574
MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,29769
MOTOR VEHICLE ACCIDENTS FATAL,National Highways,28396
RIOTS,Others,26018
MOTOR VEHICLE ACCIDENTS FATAL,State Highways,23429
MOLESTATION,Other Places,20580
BURGLARY - NIGHT,At Residential Premises,20458
CRIMINAL INTIMIDATION,Criminal Intimidation,17879
NEGLIGENT ACT,Other - Related,17277
NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Cultivated/Processed,15803
THEFT,Other Items Not Included Above,15695
CRIMES RELATED TO WOMEN,Dowry Prohibition,14335
POCSO,Rape,14076
MOLESTATION,Public Place,13727
CrPC,Security For Good Behaviour (Sec 109),13384
THEFT,House Theft,13283
THEFT,"Electronic Goods (Radio,TV,VCR,ACs,Office Automation Equipments)",12972
Karnataka State Local Act,Mmdr (Mines & Minerals Regulation Development) Act 1957,12088
NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,12053
ATTEMPT TO MURDER,Due To Other Causes,11804
CASES OF HURT,Grievous Hurt,9996
CRUELTY BY HUSBAND,Husband And Relative(S) In Law,9530
KIDNAPPING AND ABDUCTION,Others,9306
KIDNAPPING AND ABDUCTION,Missing-Girl,8984
RIOTS,Land Disputes,8700
SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste,8698
CRIMINAL TRESPASS,Land,8080
MOLESTATION,Private Place,7443
THEFT,Jewellery,7420
BURGLARY - DAY,At Residential Premises,7408
CRUELTY BY HUSBAND,Husband,6949
MURDER,Due To OtherCauses,6865
THEFT,Of Sand,6634
BURGLARY - NIGHT,At Commercial Places / Establishments,6397
ROBBERY,Chain Snatching,5929
POCSO,Others,5720
KARNATAKA POLICE ACT 1963,others,5664
ROBBERY,In Other Places,5618
BURGLARY - NIGHT,In Other Places,5291
OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Other Govt Official,4684
THEFT,Cash,4524
OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Police Personnel,4015
KIDNAPPING AND ABDUCTION,Missing-Boy,3914
CRIMINAL BREACH OF TRUST,Criminal Breach Of Trust,3722
Karnataka State Local Act,Karnataka Minor Mineral Consistent Rule 1994,3717
CRIMINAL TRESPASS,House,3696
THEFT,Of Cattle,3604
MISCHIEF,Mischief,3570
MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Places,3501
DACOITY,Preparation And Assembly For Dacoity,3432
CONSUMER,Essential Commodites Act 1955,3377
"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS","COTPA, Cigarettes and Other Tobacco Products",3329
NEGLIGENT ACT,Human - Related,3270
AFFRAY,Affray,3191
Karnataka State Local Act,Karnataka Cow Slaughter Act,3096
KARNATAKA POLICE ACT 1963,Betting,3084
BURGLARY - NIGHT,Temple Theft,3016
THEFT,Of Automobiles - Of Cars/Jeeps,2990
SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste Women,2914
WRONGFUL RESTRAINT/CONFINEMENT,Others,2892
Karnataka State Local Act,Karnataka Open Place Disfigurement Act 1951,2602
CRUELTY BY HUSBAND,Dowry Harasement,2539
THEFT,Servant Theft,2515
SUICIDE,Abetment of Suicide,2496
SUICIDE,Other Reasons,2421
FORGERY,Forgery,2252
RAPE,Known Person,2216
ATTEMPT TO MURDER,Civil Disputes,2175
KARNATAKA POLICE ACT 1963,House Gambling (79 & 80),2134
ELECTION,Assembly,1993
THEFT,Of Accessories Of Motor Vehicle,1894
ATTEMPT TO MURDER,Sudden Quarrel,1890
Karnataka State Local Act,Karntaka Epidemic Diseases Act 2020,1866
SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes,1859
ATTEMPT TO MURDER,Revenge/Enemity,1810
Karnataka State Local Act,Other Local Acts,1751
THEFT,Of Cultural - Others,1676
Disobedience to Order Promulgated by PublicServan,By Others,1624
THEFT,Extortion,1598
Attempting to commit offences,Attempting to commit offences,1505
THEFT,Of Automobiles - Of Three Wheelers,1491
ARSON,Others,1470
MOTOR VEHICLE ACCIDENTS FATAL,Other Places,1446
CRIMINAL TRESPASS,Others,1431
THEFT,Communication And Elec.Wire,1424
Failure to appear to Court,229 A,1415
ANIMAL,Prevention Of Cruelty To Animals Act 1960,1405
CrPC,Security For Good Behaviour (Sec 108 ),1397
IMMORAL TRAFFIC,Organised,1307
Karnataka State Local Act,Disaster Management Act 2005,1284
THEFT,Of Automobiles - Of Lorries/Trucks,1243
PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY,1217
ROBBERY,At Residential Premises,1162
SUICIDE,Attempt to commit suicide,1072
FORGERY,Other Forgery,1043
Disobedience to Order Promulgated by PublicServan,By Govt. Institution,1019
CHILDREN ACT,Child Marriage (Restraint) Act 1929,1014
ATTEMPT TO MURDER,Due To Personal Vendetta Or Enemity,1011
ROBBERY,On Highways,991
NEGLIGENT ACT,Machinery - Related,972
MOLESTATION,Attempt To Commit,967
CrPC,"Preventive Arrest (Sec 41 Class D,102)",934
OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Public Sector Undertaking Official,875
COPY RIGHT ACT 1957,By Company,856
REPRESENTATION OF PEOPLE ACT 1951 & 1988,Assembly,854
RAPE,Due To Other Causes,804
THEFT,Of Cycle,785
MISSING PERSON,Boy,779
IMMORAL TRAFFIC,Un-Organised,778
DEATHS DUE TO RASHNESS/NEGLIGENCE,Death Due To Other Cause,749
MURDER,Sudden Quarrel,730
CrPC,Preventive Arrest (Sec 151),724
SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes Women,723
Karnataka State Local Act,Karnataka Forest Act 1963,715
MURDER,Revenge/Enemity,682
DEATHS DUE TO RASHNESS/NEGLIGENCE,Others,646
ARMS ACT 1959,Country Made - Non-Prohibited Bore - In Other Area,638
DOWRY DEATHS,By Hanging,624
COMMUNAL / RELIGION,Religious Issue,621
DEATHS DUE TO RASHNESS/NEGLIGENCE,Electrocution Accident,601
DOWRY DEATHS,By Husband And Relative/s In Law,600
ATTEMPT TO MURDER,Over Property Dispute,597
ROBBERY,At Commercial Places / Establishments,593
RIOTS,Political,588
COMMUNAL / RELIGION,Others,562
CHILDREN ACT,Child Labour (Prohibition & Regulation) Act 1986,555
COPY RIGHT ACT 1957,By Individual,551
Karnataka State Local Act,Karnataka Land & Revenue Act 1964 & 2007,551
EXPLOSIVES,Explosives Act 1884,549
DEATHS DUE TO RASHNESS/NEGLIGENCE,Improper Infrastructure In Construction,541
ROBBERY,Attempt To Commit,540
CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Due To Other Causes,538
OFFENCES PROMOTING ENEMITY,Offences Promoting Enemity,534
DACOITY,In Other Places,527
ARSON,Agricultural Produce,527
BURGLARY - NIGHT,At Banks,524
Karnataka State Local Act,Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,523
PUBLIC NUISANCE,Public Nuisance,513
CHILDREN ACT,Juvenile Justice Act 1986,507
NEGLIGENT ACT,Death Caused By Electric Shock,501
COMMUNAL / RELIGION,Communal Issue,497
THEFT,In Running Train,493
EXPOSURE AND ABANDONMENT OF CHILD,Girl,491
