act,section,count
IPC 1860,279,343344
IPC 1860,504,278390
IPC 1860,506,252258
IPC 1860,323,220862
IPC 1860,34,214436
IPC 1860,337,195356
IPC 1860,338,190073
IPC 1860,324,167233
IPC 1860,379,162044
IPC 1860,00M,124844
IPC 1860,420,115435
IPC 1860,341,94188
"INDIAN MOTOR VEHICLES ACT, 1988",187,94181
IPC 1860,149,85045
"CODE OF CRIMINAL PROCEDURE, 1973",107,84944
IPC 1860,304(A),78642
IPC 1860,143,68198
"INDIAN MOTOR VEHICLES ACT, 1988",181,60941
IPC 1860,380,60537
IPC 1860,147,57270
"KARNATAKA POLICE ACT, 1963",87,51497
IPC 1860,354,50653
"INDIAN MOTOR VEHICLES ACT, 1988",196,48863
INFORMATION TECHNOLOGY ACT 2000,66(D),48667
IPC 1860,419,47700
INFORMATION TECHNOLOGY ACT 2000,66(C),46401
IPC 1860,498A,39253
IPC 1860,457,37920
IPC 1860,283,37773
IPC 1860,427,35641
IPC 1860,148,31757
IPC 1860,363,30639
IPC 1860,447,29486
"CODE OF CRIMINAL PROCEDURE, 1973",110(E),29217
"KARNATAKA EXCISE ACT, 1965",34,28580
"INDIAN MOTOR VEHICLES ACT, 1988",146,28523
"KARNATAKA EXCISE ACT, 1965",32(3),28518
"KARNATAKA EXCISE ACT, 1965",32,28145
IPC 1860,448,28033
"KARNATAKA EXCISE ACT, 1965",15(A),26539
IPC 1860,307,25444
"INDIAN MOTOR VEHICLES ACT, 1988",180,25097
IPC 1860,326,24722
IPC 1860,454,23092
"INDIAN MOTOR VEHICLES ACT, 1988",3(1),23054
INFORMATION TECHNOLOGY ACT 2008,66(D),22791
"INDIAN MOTOR VEHICLES ACT, 1988",134(a&b),22115
"INDIAN MOTOR VEHICLES ACT, 1988",3,21748
"KARNATAKA POLICE ACT, 1963",78(3),20922
"KARNATAKA POLICE ACT, 1963",78(III),20412
INFORMATION TECHNOLOGY ACT 2008,66(C),18752
"DOWRY PROHIBITION ACT, 1961",4,18449
IPC 1860,406,17608
"DOWRY PROHIBITION ACT, 1961",3,16806
