src_type,src,dst_type,dst,weight
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,act,IPC 1860,242912
act,"INDIAN MOTOR VEHICLES ACT, 1988",act,IPC 1860,181180
crime_head,THEFT,act,IPC 1860,158776
crime_head,CrPC,act,"CODE OF CRIMINAL PROCEDURE, 1973",137926
crime_head,CASES OF HURT,act,IPC 1860,126200
crime_head,MISSING PERSON,act,IPC 1860,124811
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,act,"INDIAN MOTOR VEHICLES ACT, 1988",109666
crime_head,KARNATAKA POLICE ACT 1963,act,"KARNATAKA POLICE ACT, 1963",102277
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,act,IPC 1860,83021
crime_head,THEFT,district,Bengaluru City,69988
crime_head,CYBER CRIME,district,Bengaluru City,64599
crime_head,Karnataka State Local Act,act,"KARNATAKA EXCISE ACT, 1965",60735
crime_head,CYBER CRIME,act,IPC 1860,55881
crime_head,CYBER CRIME,act,INFORMATION TECHNOLOGY ACT 2000,52270
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,act,"INDIAN MOTOR VEHICLES ACT, 1988",49804
crime_head,CHEATING,act,IPC 1860,48652
crime_head,MOLESTATION,act,IPC 1860,42850
crime_head,PUBLIC SAFETY,act,IPC 1860,42355
crime_head,MISSING PERSON,district,Bengaluru City,39234
crime_head,RIOTS,act,IPC 1860,36688
act,INFORMATION TECHNOLOGY ACT 2000,act,IPC 1860,35771
crime_head,BURGLARY - NIGHT,act,IPC 1860,35727
crime_head,PUBLIC SAFETY,district,Bengaluru City,32222
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Bengaluru City,30107
crime_head,CYBER CRIME,act,INFORMATION TECHNOLOGY ACT 2008,26173
crime_head,Karnataka State Local Act,act,IPC 1860,25743
crime_head,KIDNAPPING AND ABDUCTION,act,IPC 1860,23918
crime_head,CASES OF HURT,district,Bengaluru City,23116
crime_head,CHEATING,district,Bengaluru City,22716
crime_head,NEGLIGENT ACT,act,IPC 1860,22617
act,INFORMATION TECHNOLOGY ACT 2008,act,IPC 1860,21676
crime_head,ATTEMPT TO MURDER,act,IPC 1860,20781
crime_head,CRUELTY BY HUSBAND,act,IPC 1860,19259
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,act,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",19251
crime_head,POCSO,act,IPC 1860,19007
act,"DOWRY PROHIBITION ACT, 1961",act,IPC 1860,18594
crime_head,CRIMINAL INTIMIDATION,act,IPC 1860,17875
act,IPC 1860,act,MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,17407
act,IPC 1860,act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,16318
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,district,Bengaluru City,16247
crime_head,POCSO,act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,16238
crime_head,NEGLIGENT ACT,act,"INDIAN MOTOR VEHICLES ACT, 1988",15300
crime_head,NEGLIGENT ACT,district,Bengaluru City,15141
crime_head,ROBBERY,act,IPC 1860,14998
crime_head,Karnataka State Local Act,act,MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,14967
crime_head,CRIMES RELATED TO WOMEN,act,IPC 1860,14337
crime_head,CRIMES RELATED TO WOMEN,act,"DOWRY PROHIBITION ACT, 1961",14302
crime_head,CRIMINAL TRESPASS,act,IPC 1860,14016
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Hassan,13159
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Tumakuru,12900
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Bengaluru Rural,12787
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Mandya,12758
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,act,IPC 1860,11667
crime_head,CrPC,district,Bengaluru City,10878
crime_head,MURDER,act,IPC 1860,10634
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Belagavi,10113
act,IPC 1860,act,KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,10056
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),act,IPC 1860,9952
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Shivamogga,9851
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Chitradurga,9786
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Ramanagara,9257
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,act,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",9195
act,KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,9174
crime_head,Karnataka State Local Act,act,KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,8931
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Mysuru,8666
crime_head,BURGLARY - DAY,act,IPC 1860,8242
crime_head,THEFT,district,Bengaluru Rural,8055
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,district,Udupi,8007
crime_head,KIDNAPPING AND ABDUCTION,district,Bengaluru City,7924
crime_head,BURGLARY - NIGHT,district,Bengaluru City,7890
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,act,"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",7557
