canonical_name,status,count
Bagalkote,Abated,600
Bagalkote,BoundOver,1372
Bagalkote,Compounded,427
Bagalkote,Convicted,5931
Bagalkote,Dis/Acq,2144
Bagalkote,False Case,1273
Bagalkote,Other Disposal,1510
Bagalkote,Pending Trial,10117
Bagalkote,Traced,1255
Bagalkote,Transferred,234
Bagalkote,Un Traced,141
Bagalkote,Under Investigation,1412
Bagalkote,Undetected,1707
Ballari,Abated,467
Ballari,BoundOver,2504
Ballari,Compounded,534
Ballari,Convicted,8055
Ballari,Dis/Acq,3017
Ballari,False Case,1209
Ballari,Other Disposal,464
Ballari,Pending Trial,7573
Ballari,Traced,1146
Ballari,Transferred,132
Ballari,Un Traced,190
Ballari,Under Investigation,1204
Ballari,Undetected,1931
Belagavi,Abated,1229
Belagavi,BoundOver,3677
Belagavi,Compounded,1135
Belagavi,Convicted,13907
Belagavi,Dis/Acq,6597
Belagavi,False Case,2652
Belagavi,Other Disposal,3560
Belagavi,Pending Trial,16595
Belagavi,Traced,2773
Belagavi,Transferred,240
Belagavi,Un Traced,240
Belagavi,Under Investigation,3207
Belagavi,Undetected,3757
Belagavi City,Abated,299
Belagavi City,BoundOver,387
Belagavi City,Compounded,490
Belagavi City,Convicted,4053
Belagavi City,Dis/Acq,2122
Belagavi City,False Case,1299
Belagavi City,Other Disposal,2044
Belagavi City,Pending Trial,4951
Belagavi City,Traced,1142
Belagavi City,Transferred,11
Belagavi City,Un Traced,153
Belagavi City,Under Investigation,1137
Belagavi City,Undetected,2789
Bengaluru City,Abated,1158
Bengaluru City,BoundOver,9017
Bengaluru City,Compounded,25311
Bengaluru City,Convicted,73310
Bengaluru City,Dis/Acq,13674
Bengaluru City,False Case,25668
Bengaluru City,Other Disposal,4527
Bengaluru City,Pending Trial,105647
Bengaluru City,Traced,36139
Bengaluru City,Transferred,651
Bengaluru City,Un Traced,1510
Bengaluru City,Under Investigation,35922
Bengaluru City,Undetected,92874
Bengaluru Rural,Abated,374
Bengaluru Rural,BoundOver,3361
Bengaluru Rural,Compounded,590
Bengaluru Rural,Convicted,6616
Bengaluru Rural,Dis/Acq,1424
Bengaluru Rural,False Case,3921
Bengaluru Rural,Other Disposal,148
Bengaluru Rural,Pending Trial,25563
Bengaluru Rural,Traced,6271
Bengaluru Rural,Transferred,75
Bengaluru Rural,Un Traced,432
Bengaluru Rural,Under Investigation,5355
Bengaluru Rural,Undetected,9874
Bidar,Abated,520
Bidar,BoundOver,4102
Bidar,Compounded,626
Bidar,Convicted,9505
Bidar,Dis/Acq,6708
Bidar,False Case,1306
Bidar,Other Disposal,753
Bidar,Pending Trial,8710
Bidar,Traced,960
Bidar,Transferred,215
Bidar,Un Traced,75
Bidar,Under Investigation,1703
Bidar,Undetected,2678
CID,False Case,7
CID,Other Disposal,1
CID,Pending Trial,12
CID,Under Investigation,67
CID,Undetected,85
Chamarajanagar,Abated,329
Chamarajanagar,BoundOver,2874
Chamarajanagar,Compounded,629
Chamarajanagar,Convicted,5960
Chamarajanagar,Dis/Acq,3364
Chamarajanagar,False Case,591
Chamarajanagar,Other Disposal,131
Chamarajanagar,Pending Trial,5910
Chamarajanagar,Traced,1281
Chamarajanagar,Transferred,61
Chamarajanagar,Un Traced,130
Chamarajanagar,Under Investigation,614
Chamarajanagar,Undetected,1169
Chikkaballapura,Abated,357
Chikkaballapura,BoundOver,2186
Chikkaballapura,Compounded,360
Chikkaballapura,Convicted,11055
Chikkaballapura,Dis/Acq,3528
Chikkaballapura,False Case,1237
Chikkaballapura,Other Disposal,210
Chikkaballapura,Pending Trial,10711
Chikkaballapura,Traced,3062
Chikkaballapura,Transferred,190
Chikkaballapura,Un Traced,78
Chikkaballapura,Under Investigation,1189
Chikkaballapura,Undetected,2382
Chikkamagaluru,Abated,405
Chikkamagaluru,BoundOver,3870
Chikkamagaluru,Compounded,475
Chikkamagaluru,Convicted,5536
Chikkamagaluru,Dis/Acq,5113
Chikkamagaluru,False Case,1871
Chikkamagaluru,Other Disposal,319
Chikkamagaluru,Pending Trial,12230
Chikkamagaluru,Traced,2053
Chikkamagaluru,Transferred,211
Chikkamagaluru,Un Traced,128
Chikkamagaluru,Under Investigation,1698
Chikkamagaluru,Undetected,1576
Chitradurga,Abated,549
Chitradurga,BoundOver,4052
Chitradurga,Compounded,413
Chitradurga,Convicted,11632
Chitradurga,Dis/Acq,4529
Chitradurga,False Case,1565
Chitradurga,Other Disposal,200
Chitradurga,Pending Trial,15734
Chitradurga,Traced,3391
Chitradurga,Transferred,152
Chitradurga,Un Traced,181
Chitradurga,Under Investigation,2268
Chitradurga,Undetected,3088
Coastal Security Police,BoundOver,14
Coastal Security Police,Convicted,93
Coastal Security Police,Dis/Acq,28
Coastal Security Police,Other Disposal,3
Coastal Security Police,Pending Trial,42
Coastal Security Police,Un Traced,3
Coastal Security Police,Under Investigation,25
Coastal Security Police,Undetected,5
Dakshina Kannada,Abated,266
Dakshina Kannada,BoundOver,1727
Dakshina Kannada,Compounded,254
Dakshina Kannada,Convicted,5582
Dakshina Kannada,Dis/Acq,1958
Dakshina Kannada,False Case,1338
