canonical_name,year,month,major_head,count
Bagalkote,2016,1,ARMS ACT 1959,1
Bagalkote,2016,1,ARSON,2
Bagalkote,2016,1,ATTEMPT TO MURDER,2
Bagalkote,2016,1,Attempting to commit offences,1
Bagalkote,2016,1,BONDED LABOUR SYSTEM,1
Bagalkote,2016,1,BURGLARY - DAY,2
Bagalkote,2016,1,BURGLARY - NIGHT,5
Bagalkote,2016,1,CASES OF HURT,20
Bagalkote,2016,1,CHEATING,1
Bagalkote,2016,1,COPY RIGHT ACT 1957,1
Bagalkote,2016,1,CRIMINAL INTIMIDATION,1
Bagalkote,2016,1,CRIMINAL TRESPASS,3
Bagalkote,2016,1,CRUELTY BY HUSBAND,3
Bagalkote,2016,1,CrPC,38
Bagalkote,2016,1,DACOITY,1
Bagalkote,2016,1,DEATHS DUE TO RASHNESS/NEGLIGENCE,1
Bagalkote,2016,1,FORGERY,2
Bagalkote,2016,1,KARNATAKA POLICE ACT 1963,31
Bagalkote,2016,1,Karnataka State Local Act,24
Bagalkote,2016,1,MISSING PERSON,6
Bagalkote,2016,1,MOLESTATION,2
Bagalkote,2016,1,MOTOR VEHICLE ACCIDENTS FATAL,36
Bagalkote,2016,1,MOTOR VEHICLE ACCIDENTS NON-FATAL,47
Bagalkote,2016,1,MURDER,2
Bagalkote,2016,1,OFFENCES RELATED TO MARRIAGE,1
Bagalkote,2016,1,POCSO,2
Bagalkote,2016,1,RIOTS,10
Bagalkote,2016,1,ROBBERY,2
Bagalkote,2016,1,SCHEDULED CASTE AND THE SCHEDULED TRIBES,3
Bagalkote,2016,1,SUICIDE,2
Bagalkote,2016,1,THEFT,18
Bagalkote,2016,10,AFFRAY,1
Bagalkote,2016,10,ATTEMPT TO MURDER,4
Bagalkote,2016,10,Attempting to commit offences,1
Bagalkote,2016,10,BURGLARY - DAY,1
Bagalkote,2016,10,BURGLARY - NIGHT,5
Bagalkote,2016,10,CASES OF HURT,23
Bagalkote,2016,10,CHEATING,5
Bagalkote,2016,10,COMMUNAL / RELIGION,2
Bagalkote,2016,10,CONSUMER,1
Bagalkote,2016,10,CRIMINAL INTIMIDATION,1
Bagalkote,2016,10,CRUELTY BY HUSBAND,2
Bagalkote,2016,10,CYBER CRIME,1
Bagalkote,2016,10,Concealment of birth by secret disposal of Child,1
Bagalkote,2016,10,CrPC,65
Bagalkote,2016,10,DEATHS DUE TO RASHNESS/NEGLIGENCE,1
Bagalkote,2016,10,DOWRY DEATHS,1
Bagalkote,2016,10,KARNATAKA POLICE ACT 1963,55
Bagalkote,2016,10,KIDNAPPING AND ABDUCTION,2
Bagalkote,2016,10,Karnataka State Local Act,34
Bagalkote,2016,10,MISSING PERSON,8
Bagalkote,2016,10,MOLESTATION,5
Bagalkote,2016,10,MOTOR VEHICLE ACCIDENTS FATAL,33
Bagalkote,2016,10,MOTOR VEHICLE ACCIDENTS NON-FATAL,46
Bagalkote,2016,10,MURDER,4
Bagalkote,2016,10,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),2
Bagalkote,2016,10,POCSO,1
Bagalkote,2016,10,POISONING-PROFESSIONAL,1
Bagalkote,2016,10,REPRESENTATION OF PEOPLE ACT 1951 & 1988,1
Bagalkote,2016,10,RIOTS,2
Bagalkote,2016,10,ROBBERY,2
Bagalkote,2016,10,SCHEDULED CASTE AND THE SCHEDULED TRIBES,2
Bagalkote,2016,10,THEFT,24
Bagalkote,2016,11,ARSON,2
Bagalkote,2016,11,ATTEMPT TO MURDER,5
Bagalkote,2016,11,BURGLARY - NIGHT,2
Bagalkote,2016,11,CASES OF HURT,14
Bagalkote,2016,11,CHEATING,3
Bagalkote,2016,11,CONSUMER,1
Bagalkote,2016,11,CRIMES RELATED TO WOMEN,2
Bagalkote,2016,11,CRIMINAL BREACH OF TRUST,2
Bagalkote,2016,11,CRIMINAL INTIMIDATION,1
Bagalkote,2016,11,CRUELTY BY HUSBAND,5
Bagalkote,2016,11,CrPC,41
Bagalkote,2016,11,DEATHS DUE TO RASHNESS/NEGLIGENCE,1
Bagalkote,2016,11,EXPLOSIVES,1
Bagalkote,2016,11,KARNATAKA POLICE ACT 1963,44
Bagalkote,2016,11,KIDNAPPING AND ABDUCTION,3
Bagalkote,2016,11,Karnataka State Local Act,22
Bagalkote,2016,11,MISSING PERSON,9
Bagalkote,2016,11,MOLESTATION,10
Bagalkote,2016,11,MOTOR VEHICLE ACCIDENTS FATAL,34
Bagalkote,2016,11,MOTOR VEHICLE ACCIDENTS NON-FATAL,38
Bagalkote,2016,11,MURDER,4
Bagalkote,2016,11,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,1
Bagalkote,2016,11,NEGLIGENT ACT,2
Bagalkote,2016,11,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),1
Bagalkote,2016,11,OFFENCES RELATED TO MARRIAGE,2
Bagalkote,2016,11,POCSO,4
Bagalkote,2016,11,RAPE,1
Bagalkote,2016,11,RIOTS,11
Bagalkote,2016,11,ROBBERY,2
Bagalkote,2016,11,SCHEDULED CASTE AND THE SCHEDULED TRIBES,2
Bagalkote,2016,11,THEFT,23
Bagalkote,2016,11,WRONGFUL RESTRAINT/CONFINEMENT,1
Bagalkote,2016,12,ATTEMPT TO MURDER,4
Bagalkote,2016,12,BURGLARY - NIGHT,7
Bagalkote,2016,12,CASES OF HURT,7
Bagalkote,2016,12,CHEATING,5
Bagalkote,2016,12,COMMUNAL / RELIGION,1
Bagalkote,2016,12,CONSUMER,2
Bagalkote,2016,12,CRIMES RELATED TO WOMEN,1
Bagalkote,2016,12,CRIMINAL INTIMIDATION,3
Bagalkote,2016,12,CRIMINAL TRESPASS,3
Bagalkote,2016,12,CRUELTY BY HUSBAND,5
Bagalkote,2016,12,CrPC,32
Bagalkote,2016,12,FORGERY,1
Bagalkote,2016,12,KARNATAKA POLICE ACT 1963,16
Bagalkote,2016,12,KIDNAPPING AND ABDUCTION,1
Bagalkote,2016,12,Karnataka State Local Act,12
Bagalkote,2016,12,MISSING PERSON,10
Bagalkote,2016,12,MOLESTATION,8
Bagalkote,2016,12,MOTOR VEHICLE ACCIDENTS FATAL,28
Bagalkote,2016,12,MOTOR VEHICLE ACCIDENTS NON-FATAL,50
Bagalkote,2016,12,MURDER,2
Bagalkote,2016,12,PASSPORT ACT,1
Bagalkote,2016,12,POCSO,1
Bagalkote,2016,12,RIOTS,8
Bagalkote,2016,12,ROBBERY,1
Bagalkote,2016,12,SCHEDULED CASTE AND THE SCHEDULED TRIBES,1
Bagalkote,2016,12,THEFT,11
Bagalkote,2016,2,AFFRAY,1
Bagalkote,2016,2,ANIMAL,1
Bagalkote,2016,2,ARSON,2
Bagalkote,2016,2,ATTEMPT TO MURDER,8
Bagalkote,2016,2,BURGLARY - DAY,1
Bagalkote,2016,2,CASES OF HURT,16
Bagalkote,2016,2,CHEATING,5
Bagalkote,2016,2,COPY RIGHT ACT 1957,1
Bagalkote,2016,2,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",1
Bagalkote,2016,2,CRIMES RELATED TO WOMEN,1
Bagalkote,2016,2,CRIMINAL INTIMIDATION,2
Bagalkote,2016,2,CRIMINAL TRESPASS,1
Bagalkote,2016,2,CRUELTY BY HUSBAND,3
Bagalkote,2016,2,CrPC,276
Bagalkote,2016,2,ELECTION,13
Bagalkote,2016,2,KARNATAKA POLICE ACT 1963,37
Bagalkote,2016,2,KIDNAPPING AND ABDUCTION,7
Bagalkote,2016,2,Karnataka State Local Act,67
Bagalkote,2016,2,MISSING PERSON,5
Bagalkote,2016,2,MOLESTATION,10
Bagalkote,2016,2,MOTOR VEHICLE ACCIDENTS FATAL,35
Bagalkote,2016,2,MOTOR VEHICLE ACCIDENTS NON-FATAL,48
Bagalkote,2016,2,MURDER,3
Bagalkote,2016,2,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),2
Bagalkote,2016,2,POCSO,3
Bagalkote,2016,2,REPRESENTATION OF PEOPLE ACT 1951 & 1988,20
Bagalkote,2016,2,RIOTS,16
Bagalkote,2016,2,SCHEDULED CASTE AND THE SCHEDULED TRIBES,5
Bagalkote,2016,2,SEDITION,1
Bagalkote,2016,2,THEFT,18
Bagalkote,2016,3,ARSON,1
Bagalkote,2016,3,ATTEMPT TO MURDER,4
Bagalkote,2016,3,Attempting to commit offences,1
Bagalkote,2016,3,BURGLARY - DAY,1
