lat,lng,geo_precision,year,count
11.47,76.52,point,2024,1
11.48,76.36,point,2024,1
11.48,76.41,point,2023,3
11.48,76.67,point,2021,1
11.48,76.67,point,2023,9
11.48,76.67,point,2024,24
11.48,76.9,point,2023,1
11.49,76.86,point,2023,1
11.49,78.03,point,2023,2
11.5,76.55,point,2024,1
11.5,77.24,point,2023,1
11.51,76.48,point,2024,1
11.51,76.52,point,2024,1
11.51,77.35,point,2016,1
11.52,76.55,point,2024,1
11.52,76.56,point,2024,1
11.53,76.54,point,2023,2
11.54,76.56,point,2023,2
11.54,76.57,point,2024,1
11.54,77.3,point,2019,1
11.55,76.48,point,2023,1
11.55,76.56,point,2022,1
11.55,76.56,point,2023,13
11.55,76.56,point,2024,1
11.56,76.16,point,2023,1
11.56,76.34,point,2023,1
11.56,76.48,point,2024,2
11.56,76.55,point,2024,1
11.56,76.56,point,2023,2
11.56,76.57,point,2023,2
11.57,76.54,point,2023,1
11.58,75.94,point,2024,2
11.58,76.0,point,2023,1
11.58,76.0,point,2024,5
11.58,76.02,point,2024,4
11.58,76.05,point,2024,1
11.58,76.17,point,2023,1
11.58,76.24,point,2023,1
11.58,76.28,point,2024,2
11.58,76.3,point,2023,2
11.58,76.3,point,2024,2
11.58,76.31,point,2023,1
11.58,76.47,point,2024,1
11.59,76.27,point,2024,1
11.59,76.37,point,2023,1
11.59,76.51,point,2023,1
11.59,77.34,point,2023,1
11.6,76.36,point,2023,1
11.6,77.76,point,2024,1
11.6,78.75,point,2022,1
11.61,76.38,point,2020,1
11.64,76.69,point,2019,1
11.65,76.68,point,2019,1
11.65,76.85,point,2024,1
11.66,75.47,point,2019,1
11.66,76.86,point,2023,1
11.67,76.75,point,2023,1
11.67,76.77,point,2023,1
11.69,76.79,point,2019,4
11.69,76.79,point,2020,1
11.69,76.79,point,2021,5
11.69,76.79,point,2023,1
11.69,76.79,point,2024,1
11.7,76.76,point,2024,1
11.7,76.77,point,2021,1
11.7,76.78,point,2021,3
11.71,76.76,point,2019,2
11.71,76.76,point,2020,1
11.71,76.76,point,2021,1
11.71,76.78,point,2021,1
11.71,76.79,point,2021,1
11.71,76.8,point,2023,1
11.71,76.81,point,2019,1
11.71,76.81,point,2022,2
11.71,76.82,point,2019,1
11.72,76.73,point,2020,1
11.72,76.78,point,2021,3
