canonical_name,total_cases,heinous_cases,victims,accused,arrested,chargesheeted,convicted,arrest_rate,chargesheet_rate,conviction_rate,detection_rate
Bagalkote,28123,4826,26349,71770,31181,64594,14453,0.4345,0.9,0.2238,0.9343
Ballari,28426,3408,20302,66135,32812,58252,21003,0.4961,0.8808,0.3606,0.9254
Belagavi,59569,8697,58284,142096,75977,124463,30524,0.5347,0.8759,0.2452,0.9329
Belagavi City,20877,2811,18939,39255,21346,32059,7468,0.5438,0.8167,0.2329,0.8591
Bengaluru City,425408,33312,287074,488630,262933,438253,70846,0.5381,0.8969,0.1617,0.7781
Bengaluru Rural,64004,8951,55293,94993,52080,75085,10065,0.5483,0.7904,0.134,0.839
Bidar,37861,4259,37399,80186,47531,75109,17307,0.5928,0.9367,0.2304,0.9273
CID,172,32,4,153,72,40,0,0.4706,0.2614,0.0,0.5058
Chamarajanagar,23043,2253,16914,48323,20236,38747,11337,0.4188,0.8018,0.2926,0.9436
Chikkaballapura,36545,4547,29287,71239,42334,60689,18082,0.5943,0.8519,0.2979,0.9327
Chikkamagaluru,35485,4334,31729,65879,25197,53999,9908,0.3825,0.8197,0.1835,0.952
Chitradurga,47754,5347,42048,94457,43778,86317,24707,0.4635,0.9138,0.2862,0.9315
Coastal Security Police,213,4,4,297,203,301,170,0.6835,1.0135,0.5648,0.9624
Dakshina Kannada,21125,2651,20059,34710,18772,26985,7337,0.5408,0.7774,0.2719,0.9508
Davanagere,39041,5042,39749,80449,37913,64379,20786,0.4713,0.8002,0.3229,0.911
Dharwad,14866,2443,14659,33510,19921,29224,4842,0.5945,0.8721,0.1657,0.9199
Gadag,18502,2192,13996,41066,20536,37428,13544,0.5001,0.9114,0.3619,0.9532
Hassan,58256,7571,59443,100683,69914,84498,20152,0.6944,0.8392,0.2385,0.9418
Haveri,29771,3949,27079,71247,25792,54711,13033,0.362,0.7679,0.2382,0.9266
Hubballi-Dharwad City,24087,2643,19590,38109,27631,38636,11134,0.7251,1.0138,0.2882,0.8758
ISD Bengaluru,139,0,1,152,49,175,124,0.3224,1.1513,0.7086,1.0
K.G.F,10256,1266,8582,17574,8765,14494,3500,0.4987,0.8247,0.2415,0.9189
Kalaburagi,31351,4181,29535,76005,42627,73203,11425,0.5608,0.9631,0.1561,0.9576
Kalaburagi City,20223,2783,15319,38829,23495,37684,7649,0.6051,0.9705,0.203,0.8875
Karnataka Railways,9888,1673,6561,3338,4576,6188,515,1.3709,1.8538,0.0832,0.5127
Kodagu,19247,1897,16684,29623,11343,24089,5638,0.3829,0.8132,0.234,0.9439
Kolar,23648,3559,23239,47366,20936,35507,4634,0.442,0.7496,0.1305,0.9017
Koppal,24926,3328,19877,66994,32023,58617,8225,0.478,0.875,0.1403,0.9517
Mandya,59701,7149,50369,121771,26183,99941,21177,0.215,0.8207,0.2119,0.9058
Mangaluru City,31544,2959,25142,47333,28635,40273,12216,0.605,0.8508,0.3033,0.925
Mysuru,50599,5876,40845,105961,21773,83483,20174,0.2055,0.7879,0.2417,0.9256
Mysuru City,30510,2747,29590,45873,19195,36714,7442,0.4184,0.8003,0.2027,0.8565
Raichur,36496,4876,26332,96588,55385,89107,16004,0.5734,0.9225,0.1796,0.9567
Ramanagara,44232,6056,37518,76271,48089,63390,10008,0.6305,0.8311,0.1579,0.8912
Shivamogga,61338,6407,53258,121581,39772,100303,19372,0.3271,0.825,0.1931,0.9394
Tumakuru,61553,9497,62624,111045,86502,110089,30853,0.779,0.9914,0.2803,0.9174
Udupi,28431,3521,24587,46933,24402,36386,13524,0.5199,0.7753,0.3717,0.9508
Uttara Kannada,32690,3437,30971,56240,31027,45365,15508,0.5517,0.8066,0.3418,0.9493
Vijayanagara,25815,3268,21185,63952,38339,54131,17655,0.5995,0.8464,0.3262,0.9501
Vijayapura,39508,5574,30507,94462,43941,80614,18943,0.4652,0.8534,0.235,0.9357
Yadgir,19511,2416,17125,53275,25990,50714,7398,0.4878,0.9519,0.1459,0.9604
