census_code_2011,district_2011_name,population_2011,total_crimes_all_years,crimes_per_100k,literacy_rate,sc_share,st_share,sex_ratio_f_per_1000m
583,Bangalore Rural,990923,64004,6459.0,0.6951,0.2157,0.0534,946.1
572,Bangalore,9621551,425408,4421.4,0.7808,0.1246,0.0198,915.6
584,Ramanagara,1082636,44232,4085.6,0.6233,0.1883,0.0212,975.6
568,Shimoga,1752753,61338,3499.5,0.7206,0.1758,0.0373,997.6
576,Kodagu,554519,19247,3470.9,0.7446,0.1327,0.1047,1019.3
573,Mandya,1805769,59701,3306.1,0.6367,0.1469,0.0124,995.1
574,Hassan,1776421,58256,3279.4,0.6897,0.1942,0.0182,1010.3
570,Chikmagalur,1137961,35485,3118.3,0.7191,0.2229,0.0395,1008.3
582,Chikkaballapura,1255104,36545,2911.7,0.624,0.249,0.1247,972.1
566,Chitradurga,1659456,47754,2877.7,0.6553,0.2345,0.1823,973.6
577,Mysore,3001127,81109,2702.6,0.6538,0.1788,0.1115,985.4
575,Dakshina Kannada,2089649,52669,2520.5,0.7974,0.0709,0.0394,1019.5
569,Udupi,1177361,28431,2414.8,0.7869,0.0641,0.0449,1094.5
571,Tumkur,2678980,61553,2297.6,0.6769,0.1892,0.0782,983.6
563,Uttara Kannada,1437169,32690,2274.6,0.7528,0.081,0.0238,978.9
578,Chamarajanagar,1020791,23043,2257.4,0.5538,0.2542,0.1178,992.8
558,Bidar,1703300,37861,2222.8,0.6121,0.2347,0.1385,956.3
565,Bellary,2452595,54241,2211.6,0.5796,0.211,0.1841,982.8
581,Kolar,1536401,33904,2206.7,0.6614,0.3032,0.0513,978.9
562,Dharwad,1847023,38953,2109.0,0.7047,0.0963,0.0474,970.8
579,Gulbarga,2566326,51574,2009.6,0.5562,0.2528,0.0254,971.4
567,Davanagere,1945497,39041,2006.7,0.6726,0.2018,0.1198,972.3
559,Raichur,1928812,36496,1892.1,0.508,0.2079,0.1903,999.8
564,Haveri,1597668,29771,1863.4,0.6794,0.1377,0.0885,950.4
557,Bijapur,2177331,39508,1814.5,0.5733,0.2034,0.0181,959.8
560,Koppal,1389920,24926,1793.3,0.5821,0.1861,0.1182,985.8
561,Gadag,1064570,18502,1738.0,0.6577,0.1636,0.0579,981.9
555,Belgaum,4779661,80446,1683.1,0.6385,0.1208,0.0622,972.6
580,Yadgir,1174271,19511,1661.5,0.4343,0.2328,0.1251,989.2
556,Bagalkot,1889752,28123,1488.2,0.5892,0.1689,0.0514,989.0
