canonical_name,major_head,modeled_time_of_day,method,count
Bagalkote,ADULTERATION,Distributed,default_distributed,17
Bagalkote,AFFRAY,Evening,criminological_prior,39
Bagalkote,ANIMAL,Distributed,default_distributed,34
Bagalkote,ANTIQUES (CULTURAL PROPERTY),Distributed,default_distributed,4
Bagalkote,ARMS ACT 1959,Distributed,default_distributed,9
Bagalkote,ARSON,Distributed,default_distributed,48
Bagalkote,ASSAULT,Distributed,default_distributed,3
Bagalkote,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,Distributed,default_distributed,3
Bagalkote,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Night,criminological_prior,2
Bagalkote,ATTEMPT TO MURDER,Night,criminological_prior,475
Bagalkote,Attempting to commit offences,Distributed,default_distributed,27
Bagalkote,BONDED LABOUR SYSTEM,Distributed,default_distributed,2
Bagalkote,BURGLARY - DAY,Daytime,category_encoded,150
Bagalkote,BURGLARY - NIGHT,Night,category_encoded,566
Bagalkote,CASES OF HURT,Distributed,default_distributed,1189
Bagalkote,CHEATING,Distributed,default_distributed,588
Bagalkote,CHILDREN ACT,Distributed,default_distributed,107
Bagalkote,COMMUNAL / RELIGION,Distributed,default_distributed,75
Bagalkote,CONSUMER,Distributed,default_distributed,137
Bagalkote,COPY RIGHT ACT 1957,Distributed,default_distributed,16
Bagalkote,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",Evening,criminological_prior,450
Bagalkote,COUNTERFEITING,Distributed,default_distributed,4
Bagalkote,CRIMES RELATED TO WOMEN,Distributed,default_distributed,181
Bagalkote,CRIMINAL BREACH OF TRUST,Distributed,default_distributed,31
Bagalkote,CRIMINAL CONSPIRACY,Distributed,default_distributed,3
Bagalkote,CRIMINAL INTIMIDATION,Distributed,default_distributed,180
Bagalkote,CRIMINAL MISAPPROPRIATION,Distributed,default_distributed,2
Bagalkote,CRIMINAL TRESPASS,Afternoon,criminological_prior,171
Bagalkote,CRUELTY BY HUSBAND,Distributed,default_distributed,249
Bagalkote,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Night,criminological_prior,14
Bagalkote,CYBER CRIME,Distributed,default_distributed,118
Bagalkote,Concealment of birth by secret disposal of Child,Distributed,default_distributed,20
Bagalkote,CrPC,Distributed,default_distributed,2947
Bagalkote,DACOITY,Night,criminological_prior,43
Bagalkote,DEATHS DUE TO RASHNESS/NEGLIGENCE,Distributed,default_distributed,105
Bagalkote,DEATHS-MISCARRIAGE,Distributed,default_distributed,2
Bagalkote,DEFAMATION,Distributed,default_distributed,2
Bagalkote,DOWRY DEATHS,Distributed,default_distributed,26
Bagalkote,Disobedience to Order Promulgated by PublicServan,Distributed,default_distributed,13
Bagalkote,ELECTION,Distributed,default_distributed,146
Bagalkote,ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,Distributed,default_distributed,3
Bagalkote,EXPLOSIVES,Distributed,default_distributed,13
Bagalkote,EXPOSURE AND ABANDONMENT OF CHILD,Distributed,default_distributed,27
Bagalkote,FALSE EVIDENCE,Distributed,default_distributed,2
Bagalkote,FOREST,Distributed,default_distributed,3
Bagalkote,FORGERY,Distributed,default_distributed,70
Bagalkote,Failure to appear to Court,Distributed,default_distributed,1
Bagalkote,IMMORAL TRAFFIC,Night,criminological_prior,8
Bagalkote,IMPERSONATION,Distributed,default_distributed,2
Bagalkote,INDIAN MOTOR VEHICLE,Distributed,default_distributed,1
