canonical_name,kgis_code,category,period,actual,baseline,deviation_pct,severity,reason
Kodagu,25,MISSING PERSON,2023,186,133.0,39.8,amber,Missing Person in Kodagu: 186 FIRs in 2023 vs 133 avg over 2021-2022 (+40%).
Tumakuru,18,THEFT,2023,778,558.5,39.3,amber,Theft in Tumakuru: 778 FIRs in 2023 vs 558 avg over 2021-2022 (+39%).
Ballari,12,CASES OF HURT,2023,181,130.0,39.2,amber,Cases Of Hurt in Ballari: 181 FIRs in 2023 vs 130 avg over 2021-2022 (+39%).
Chikkaballapura,28,MOTOR VEHICLE ACCIDENTS NON-FATAL,2023,615,443.0,38.8,amber,Motor Vehicle Accidents Non-Fatal in Chikkaballapura: 615 FIRs in 2023 vs 443 avg over 2021-2022 (+39%).
Vijayanagara,31,Karnataka State Local Act,2023,385,278.0,38.5,amber,Karnataka State Local Act in Vijayanagara: 385 FIRs in 2023 vs 278 avg over 2021-2022 (+38%).
Bengaluru Rural,21,KIDNAPPING AND ABDUCTION,2023,275,200.0,37.5,amber,Kidnapping And Abduction in Bengaluru Rural: 275 FIRs in 2023 vs 200 avg over 2021-2022 (+38%).
Bengaluru Urban,20,CRUELTY BY HUSBAND,2023,674,491.0,37.3,amber,Cruelty By Husband in Bengaluru Urban: 674 FIRs in 2023 vs 491 avg over 2021-2022 (+37%).
Chikkamagaluru,17,THEFT,2023,298,217.5,37.0,amber,Theft in Chikkamagaluru: 298 FIRs in 2023 vs 218 avg over 2021-2022 (+37%).
Bengaluru Rural,21,MISSING PERSON,2023,1229,901.0,36.4,amber,"Missing Person in Bengaluru Rural: 1,229 FIRs in 2023 vs 901 avg over 2021-2022 (+36%)."
Ballari,12,THEFT,2023,413,304.0,35.9,amber,Theft in Ballari: 413 FIRs in 2023 vs 304 avg over 2021-2022 (+36%).
Chitradurga,13,RIOTS,2023,244,179.5,35.9,amber,Riots in Chitradurga: 244 FIRs in 2023 vs 180 avg over 2021-2022 (+36%).
Vijayapura,03,CASES OF HURT,2023,365,270.0,35.2,amber,Cases Of Hurt in Vijayapura: 365 FIRs in 2023 vs 270 avg over 2021-2022 (+35%).
Bengaluru Urban,20,KIDNAPPING AND ABDUCTION,2023,1146,848.5,35.1,amber,"Kidnapping And Abduction in Bengaluru Urban: 1,146 FIRs in 2023 vs 848 avg over 2021-2022 (+35%)."
Davanagere,14,CASES OF HURT,2023,359,266.5,34.7,amber,Cases Of Hurt in Davanagere: 359 FIRs in 2023 vs 266 avg over 2021-2022 (+35%).
Chamarajanagar,27,MISSING PERSON,2023,273,205.0,33.2,amber,Missing Person in Chamarajanagar: 273 FIRs in 2023 vs 205 avg over 2021-2022 (+33%).
Kodagu,25,MOTOR VEHICLE ACCIDENTS NON-FATAL,2023,462,347.5,32.9,amber,Motor Vehicle Accidents Non-Fatal in Kodagu: 462 FIRs in 2023 vs 348 avg over 2021-2022 (+33%).
Hassan,23,THEFT,2023,478,360.0,32.8,amber,Theft in Hassan: 478 FIRs in 2023 vs 360 avg over 2021-2022 (+33%).
Bengaluru Urban,20,MISSING PERSON,2023,5477,4131.5,32.6,amber,"Missing Person in Bengaluru Urban: 5,477 FIRs in 2023 vs 4,132 avg over 2021-2022 (+33%)."
