act,count
IPC 1860,1302525
"INDIAN MOTOR VEHICLES ACT, 1988",182351
"CODE OF CRIMINAL PROCEDURE, 1973",140345
"KARNATAKA POLICE ACT, 1963",105510
"KARNATAKA EXCISE ACT, 1965",61173
INFORMATION TECHNOLOGY ACT 2000,53256
INFORMATION TECHNOLOGY ACT 2008,26914
"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",19321
"DOWRY PROHIBITION ACT, 1961",18624
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,17730
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,17252
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,10323
"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",9245
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",8928
"KARNATAKA POLICE (AMENDMENT) ACT, 2021",5418
The SC & ST (Prevention of Atrocities) Amendment Act 2015,5106
"THE DISASTER MANAGEMENT ACT, 2005",4468
"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",3921
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",3673
"ESSENTIAL COMMODITIES ACT, 1955",3525
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,2835
Prohibition of Child Marriage Act 2006,2773
"COTPA, Cigarettes and Other Tobacco Products,Act 2003",2767
KARNATAKA OPEN PLACE DISFIGUREMENT ACT 1951 & 1981,2766
"ARMS ACT, 1959",2541
"IMMORAL TRAFFIC PREVENTION ACT, 1956",2213
(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,1892
Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,1874
CHILD MARRIAGE RESTRAINT ACT,1512
"COPYRIGHT ACT, 1957",1512
"INDIAN ARMS ACT, 1959",1262
"PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",1181
"REPRESENTATION OF PEOPLE ACT, 1950,1951,1989",1151
"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",1150
"THE CENTRAL MOTOR VEHICLES RULES, 1989",1147
KARNATAKA LAND REVENUE ACT 1964,1135
KARNATAKA FOREST ACT 1963,1118
THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,1111
KARNATAKA PREVENTION OF DISTRUCTION & LOSS OF PROPERTY ACT 1981,928
"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981",891
"Juvenile Justice (Care and Protection of Children) Act, 2015",888
"FOREIGNERS ACT, 1946",880
THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020,867
"PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",861
"KARNATAKA PROHIBITION OF CHARGING EXORBITANT INTEREST ACT, 2004",742
"REPRESENTATION OF PEOPLE ACT, 1951 & 1988",705
"THE EPIDEMIC DISEASES (AMENDMENT) ORDINANCE, 2020",626
"(r),3(1)(s) IPC 1860",612
"Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production,Supply and Distribution) Rules - 2004",607
KARNATAKA ESSENTIAL COMMODITIES (PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 2016,589
KARNATAKA MONEY LENDERS ACT 1961,579
"EXPLOSIVE ACT, 1884",564
"MOTOR VEHICLE ACT, 1954",532
"THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",504
"PASSPORTS ACT, 1967",492
KARNATAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT 2020,438
KARNATAKA NEW SAND POLICY 2011,437
Transportation of Animal Act 1978,432
"PDS CONTROLING ORDER, 1992",403
"(d),102 IPC 1860",388
INDIAN ELECTRICITY ACT (AMEND.) 2003,381
"EXPLOSIVE SUBSTANCES ACT, 1908",378
The Central Motor Vehicle Rules 2015,374
"CHILD LABOUR (PROHIBITION & REGULATION) ACT,1986",359
"EPIDEMIC DISEASES ACT, 1897",317
