lat,lng,count,density,cluster_id,geo_precision,year
11.64,76.69,1,1.74,-1,point,2019
11.65,76.68,1,1.74,-1,point,2019
11.65,76.85,1,1.74,-1,point,2024
11.66,76.86,1,1.74,-1,point,2023
11.67,76.75,1,3.03,-1,point,2023
11.67,76.77,1,6.86,-1,point,2023
11.69,76.79,4,23.28,-1,point,2019
11.69,76.79,1,23.28,-1,point,2020
11.69,76.79,5,23.28,-1,point,2021
11.69,76.79,1,23.28,-1,point,2023
11.69,76.79,1,23.28,-1,point,2024
11.7,76.76,1,15.07,-1,point,2024
11.7,76.77,1,21.96,-1,point,2021
11.7,76.78,3,28.0,-1,point,2021
11.71,76.76,2,18.08,-1,point,2019
11.71,76.76,1,18.08,-1,point,2020
11.71,76.76,1,18.08,-1,point,2021
11.71,76.78,1,31.8,-1,point,2021
11.71,76.79,1,34.54,-1,point,2021
11.71,76.8,1,31.53,-1,point,2023
11.71,76.81,1,24.27,-1,point,2019
11.71,76.81,2,24.27,-1,point,2022
11.71,76.82,1,16.01,-1,point,2019
11.72,76.73,1,6.94,-1,point,2020
11.72,76.78,3,32.27,-1,point,2021
11.72,76.79,9,35.14,-1,point,2019
11.72,76.79,1,35.14,-1,point,2020
11.72,76.79,2,35.14,-1,point,2021
11.72,76.8,1,32.95,-1,point,2020
11.72,76.8,2,32.95,-1,point,2021
11.72,76.81,1,26.4,-1,point,2023
11.72,76.85,1,4.9,-1,point,2024
11.73,76.7,1,2.53,-1,point,2020
11.73,76.72,1,5.66,-1,point,2024
11.73,76.78,1,29.26,-1,point,2023
11.73,76.79,1,31.22,-1,point,2023
11.73,76.8,2,29.67,-1,point,2022
11.73,76.81,3,24.64,-1,point,2019
11.73,76.81,1,24.64,-1,point,2022
11.73,76.82,1,18.22,-1,point,2024
11.73,76.83,1,12.54,-1,point,2020
11.74,76.61,1,1.7,-1,point,2023
11.74,76.73,1,9.03,-1,point,2022
11.74,76.75,1,17.47,-1,point,2019
11.74,76.75,3,17.47,-1,point,2020
11.74,76.75,2,17.47,-1,point,2021
11.74,76.75,2,17.47,-1,point,2022
11.74,76.75,1,17.47,-1,point,2023
11.74,76.75,1,17.47,-1,point,2024
11.74,76.77,2,22.74,-1,point,2019
11.74,76.84,1,9.46,-1,point,2022
11.74,76.85,1,7.95,-1,point,2022
11.74,76.85,1,7.95,-1,point,2024
11.75,76.65,1,3.66,-1,point,2024
11.75,76.68,1,2.45,-1,point,2023
11.75,76.77,1,19.02,-1,point,2021
11.75,76.77,1,19.02,-1,point,2022
11.75,76.77,2,19.02,-1,point,2024
11.75,76.8,1,18.16,-1,point,2022
11.75,76.81,2,16.05,-1,point,2019
11.75,76.82,1,13.16,-1,point,2024
11.75,76.85,1,8.67,-1,point,2020
11.75,76.86,1,8.25,-1,point,2023
11.76,76.57,1,2.58,-1,point,2019
11.76,76.58,1,2.65,-1,point,2020
11.76,76.64,3,4.18,-1,point,2024
11.76,76.77,2,15.49,-1,point,2019
11.76,77.08,2,21.19,-1,point,2019
11.76,77.08,1,21.19,-1,point,2020
11.77,76.77,1,25.96,-1,point,2024
11.77,76.79,2,39.88,-1,point,2020
11.77,76.79,1,39.88,-1,point,2021
11.77,76.81,2,26.45,-1,point,2019
11.77,76.81,1,26.45,-1,point,2023
11.77,76.82,1,10.46,-1,point,2019
11.77,76.86,2,10.72,-1,point,2019
11.77,76.86,1,10.72,-1,point,2024
11.77,76.87,1,11.31,-1,point,2019
11.77,76.88,1,9.91,-1,point,2019
11.77,76.89,2,7.16,-1,point,2019
11.77,77.07,1,25.12,-1,point,2019
11.77,77.08,4,28.78,-1,point,2019
11.77,77.09,1,26.99,-1,point,2019
11.77,77.1,3,21.48,-1,point,2019
11.77,77.11,4,15.02,-1,point,2019
11.77,77.11,1,15.02,-1,point,2020
