src,src_type,dst,dst_type,weight,log_weight,src_community,dst_community
IPC 1860,act,MOTOR VEHICLE ACCIDENTS NON-FATAL,crime_head,242912,12.4,2,0
IPC 1860,act,"INDIAN MOTOR VEHICLES ACT, 1988",act,181180,12.107,2,0
IPC 1860,act,THEFT,crime_head,158776,11.975,2,0
"CODE OF CRIMINAL PROCEDURE, 1973",act,CrPC,crime_head,137926,11.834,0,0
IPC 1860,act,CASES OF HURT,crime_head,126200,11.746,2,5
IPC 1860,act,MISSING PERSON,crime_head,124811,11.735,2,2
MOTOR VEHICLE ACCIDENTS NON-FATAL,crime_head,"INDIAN MOTOR VEHICLES ACT, 1988",act,109666,11.605,0,0
"KARNATAKA POLICE ACT, 1963",act,KARNATAKA POLICE ACT 1963,crime_head,102277,11.535,4,4
IPC 1860,act,MOTOR VEHICLE ACCIDENTS FATAL,crime_head,83021,11.327,2,0
"KARNATAKA EXCISE ACT, 1965",act,Karnataka State Local Act,crime_head,60735,11.014,4,0
IPC 1860,act,CYBER CRIME,crime_head,55881,10.931,2,2
CYBER CRIME,crime_head,INFORMATION TECHNOLOGY ACT 2000,act,52270,10.864,2,2
"INDIAN MOTOR VEHICLES ACT, 1988",act,MOTOR VEHICLE ACCIDENTS FATAL,crime_head,49804,10.816,0,0
IPC 1860,act,CHEATING,crime_head,48652,10.792,2,2
IPC 1860,act,MOLESTATION,crime_head,42850,10.665,2,2
IPC 1860,act,PUBLIC SAFETY,crime_head,42355,10.654,2,4
IPC 1860,act,RIOTS,crime_head,36688,10.51,2,5
IPC 1860,act,INFORMATION TECHNOLOGY ACT 2000,act,35771,10.485,2,2
IPC 1860,act,BURGLARY - NIGHT,crime_head,35727,10.484,2,2
CYBER CRIME,crime_head,INFORMATION TECHNOLOGY ACT 2008,act,26173,10.173,2,2
IPC 1860,act,Karnataka State Local Act,crime_head,25743,10.156,2,0
IPC 1860,act,KIDNAPPING AND ABDUCTION,crime_head,23918,10.082,2,3
IPC 1860,act,NEGLIGENT ACT,crime_head,22617,10.027,2,0
IPC 1860,act,INFORMATION TECHNOLOGY ACT 2008,act,21676,9.984,2,2
IPC 1860,act,ATTEMPT TO MURDER,crime_head,20781,9.942,2,5
IPC 1860,act,CRUELTY BY HUSBAND,crime_head,19259,9.866,2,2
"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",act,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,crime_head,19251,9.865,7,7
IPC 1860,act,POCSO,crime_head,19007,9.853,2,3
IPC 1860,act,"DOWRY PROHIBITION ACT, 1961",act,18594,9.831,2,2
IPC 1860,act,CRIMINAL INTIMIDATION,crime_head,17875,9.791,2,5
IPC 1860,act,MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,act,17407,9.765,2,0
IPC 1860,act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,16318,9.7,2,3
POCSO,crime_head,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,16238,9.695,3,3
"INDIAN MOTOR VEHICLES ACT, 1988",act,NEGLIGENT ACT,crime_head,15300,9.636,0,0
IPC 1860,act,ROBBERY,crime_head,14998,9.616,2,5
Karnataka State Local Act,crime_head,MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,act,14967,9.614,0,0
IPC 1860,act,CRIMES RELATED TO WOMEN,crime_head,14337,9.571,2,2
"DOWRY PROHIBITION ACT, 1961",act,CRIMES RELATED TO WOMEN,crime_head,14302,9.568,2,2
IPC 1860,act,CRIMINAL TRESPASS,crime_head,14016,9.548,2,5
IPC 1860,act,SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,11667,9.365,2,1
IPC 1860,act,MURDER,crime_head,10634,9.272,2,1
IPC 1860,act,KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,10056,9.216,2,0
IPC 1860,act,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),crime_head,9952,9.206,2,5
NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,crime_head,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",act,9195,9.127,7,7
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,act,KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,9174,9.124,0,0
Karnataka State Local Act,crime_head,KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,8931,9.097,0,0
IPC 1860,act,BURGLARY - DAY,crime_head,8242,9.017,2,2
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,7557,8.93,1,1
IPC 1860,act,"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,7394,8.909,2,1
IPC 1860,act,"KARNATAKA POLICE ACT, 1963",act,6796,8.824,2,4
IPC 1860,act,SUICIDE,crime_head,6067,8.711,2,2
KARNATAKA POLICE ACT 1963,crime_head,"KARNATAKA POLICE (AMENDMENT) ACT, 2021",act,5401,8.595,4,4
