node,node_type,degree,weighted_degree,cases,community_id,pagerank,betweenness,is_hub,top_districts
IPC 1860,act,292,1679718,1302525,2,0.270801,0.676959,True,
"INDIAN MOTOR VEHICLES ACT, 1988",act,56,372581,182351,0,0.04904,0.058104,True,
MOTOR VEHICLE ACCIDENTS NON-FATAL,crime_head,19,354296,242976,0,0.046884,0.005842,True,Bengaluru City; Hassan; Tumakuru
Karnataka State Local Act,crime_head,115,133130,90742,0,0.035485,0.148495,True,Bengaluru City; Chikkaballapura; Mysuru
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,113,31327,14196,1,0.030219,0.243859,True,Bengaluru City; Hassan; Bengaluru Rural
THEFT,crime_head,36,168626,159021,0,0.024268,0.01003,True,Bengaluru City; Bengaluru Rural; Karnataka Railways
POCSO,crime_head,92,45092,19854,3,0.02418,0.160381,True,Bengaluru City; Shivamogga; Chikkaballapura
CASES OF HURT,crime_head,15,126603,126211,5,0.017813,0.00037,True,Bengaluru City; Hassan; Mandya
CYBER CRIME,crime_head,12,134486,78502,2,0.017811,0.018354,True,Bengaluru City; Bengaluru Rural; Hubballi-Dharwad City
MOTOR VEHICLE ACCIDENTS FATAL,crime_head,13,133471,83040,0,0.017781,0.005514,True,Bengaluru City; Belagavi; Tumakuru
MISSING PERSON,crime_head,1,124811,124811,2,0.017413,0.0,True,Bengaluru City; Bengaluru Rural; Shivamogga
"KARNATAKA EXCISE ACT, 1965",act,16,65204,61173,4,0.014799,0.002119,True,
NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,crime_head,23,29540,27856,7,0.013494,0.041464,True,Bengaluru City; Mangaluru City; Udupi
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,41,39492,17252,3,0.01332,0.012012,True,
INFORMATION TECHNOLOGY ACT 2000,act,23,89295,53256,2,0.011395,0.008418,True,
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,44,19407,8928,1,0.011283,0.014643,False,
"KARNATAKA POLICE ACT, 1963",act,39,114780,105510,4,0.009986,0.004323,False,
KARNATAKA POLICE ACT 1963,crime_head,17,112442,107576,4,0.009933,0.011069,False,Belagavi; Vijayapura; Ballari
CONSUMER,crime_head,26,6848,3717,6,0.009396,0.049182,False,Ballari; Bengaluru City; Bidar
CHEATING,crime_head,40,50799,48675,2,0.009167,0.010174,False,Bengaluru City; Bengaluru Rural; Mysuru City
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,act,21,47659,17730,0,0.008795,0.001945,False,
"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",act,9,20309,19321,7,0.008559,0.00491,False,
PUBLIC SAFETY,crime_head,13,48189,42380,4,0.007357,0.002105,False,Bengaluru City; Chitradurga; Mangaluru City
The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,31,11280,5106,1,0.006986,0.009056,False,
"CODE OF CRIMINAL PROCEDURE, 1973",act,22,144483,140345,0,0.006866,0.002692,False,
INFORMATION TECHNOLOGY ACT 2008,act,21,48852,26914,2,0.006607,0.006645,False,
CrPC,crime_head,7,139059,137939,0,0.006461,0.00246,False,Bengaluru City; Belagavi; Hassan
"ESSENTIAL COMMODITIES ACT, 1955",act,14,6213,3525,6,0.006246,0.003131,False,
MOLESTATION,crime_head,10,43139,42856,2,0.006236,8.1e-05,False,Bengaluru City; Shivamogga; Mandya
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,19,32185,10323,0,0.006001,0.001744,False,
NEGLIGENT ACT,crime_head,11,38142,22659,0,0.005553,0.005527,False,Bengaluru City; Raichur; Tumakuru
RIOTS,crime_head,13,37333,36695,5,0.005535,0.000114,False,Belagavi; Haveri; Shivamogga
"DOWRY PROHIBITION ACT, 1961",act,18,37437,18624,2,0.00547,0.003584,False,
BURGLARY - NIGHT,crime_head,3,35794,35729,2,0.00521,0.0,False,Bengaluru City; Bengaluru Rural; Shivamogga
"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",act,9,10459,9245,7,0.0047,0.003045,False,
CRIMES RELATED TO WOMEN,crime_head,6,28770,14345,2,0.004128,1.5e-05,False,Bengaluru City; Mysuru City; Tumakuru
KIDNAPPING AND ABDUCTION,crime_head,8,24341,23922,3,0.003717,6.1e-05,False,Bengaluru City; Bengaluru Rural; Mandya
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,28,10550,3673,0,0.003674,0.00317,False,
ATTEMPT TO MURDER,crime_head,16,21970,20816,5,0.00353,0.000413,False,Bengaluru City; Belagavi; Hassan
CRUELTY BY HUSBAND,crime_head,5,21833,19260,2,0.003304,1.1e-05,False,Bengaluru City; Belagavi; Shivamogga
"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",crime_head,11,4777,3329,4,0.003288,0.013841,False,Bengaluru City; Bagalkote; Shivamogga
Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,act,15,4290,1874,1,0.002902,0.002611,False,
CRIMINAL INTIMIDATION,crime_head,13,18125,17885,5,0.00286,0.000147,False,Bengaluru City; Shivamogga; Mysuru
Prohibition of Child Marriage Act 2006,act,12,7332,2773,3,0.002637,0.001553,False,
ROBBERY,crime_head,8,15212,15000,5,0.002427,2e-05,False,Bengaluru City; Bengaluru Rural; Mysuru City
MURDER,crime_head,16,11812,10764,1,0.002358,0.000231,False,Bengaluru City; Belagavi; Vijayapura
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,act,18,7664,2835,0,0.002276,0.000495,False,
CRIMINAL TRESPASS,crime_head,7,14180,14017,5,0.002276,1.2e-05,False,Bengaluru City; Bengaluru Rural; Shivamogga
ANIMAL,crime_head,26,5058,2096,0,0.002228,0.003468,False,Bengaluru City; Mandya; Shivamogga
"COTPA, Cigarettes and Other Tobacco Products,Act 2003",act,7,3980,2767,4,0.002198,0.001507,False,
OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),crime_head,27,11283,9964,5,0.002088,0.000808,False,Bengaluru City; Shivamogga; Mandya
KARNATAKA ESSENTIAL COMMODITIES (PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 2016,act,7,1604,589,6,0.00194,0.002136,False,
"THE DISASTER MANAGEMENT ACT, 2005",act,14,9811,4468,4,0.0019,0.0008,False,
CHILDREN ACT,crime_head,12,3041,2106,3,0.001827,0.000288,False,Bengaluru City; Ramanagara; Bagalkote
(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,11,4981,1892,3,0.001824,0.001155,False,
"FOREIGNERS ACT, 1946",act,12,1846,880,7,0.001795,0.002349,False,
EXPLOSIVES,crime_head,10,1823,871,8,0.00175,0.003317,False,Mandya; Bengaluru Rural; Bengaluru City
"ARMS ACT, 1959",act,27,4427,2541,5,0.001701,0.01355,False,
"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",act,13,2521,1150,1,0.001624,0.001531,False,
"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",act,10,7855,3921,4,0.001588,0.000204,False,
COPY RIGHT ACT 1957,crime_head,4,1895,1407,2,0.001539,0.005405,False,Bengaluru City; Mysuru City; Ramanagara
CHILD MARRIAGE RESTRAINT ACT,act,10,3913,1512,3,0.00153,0.00118,False,
"COPYRIGHT ACT, 1957",act,5,2087,1512,2,0.001454,0.000112,False,
BURGLARY - DAY,crime_head,2,8253,8245,2,0.00144,0.0,False,Bengaluru City; Bengaluru Rural; Tumakuru
Karnataka Essential Commodities (Storage Accounts Maintaining Value Notification) Order 1981,act,6,993,310,6,0.001343,0.000943,False,
FOREIGNER,crime_head,6,747,421,7,0.001278,0.006747,False,Bengaluru City; Mysuru City; Bengaluru Rural
"EXPLOSIVE ACT, 1884",act,6,1141,564,8,0.001267,0.002168,False,
"PASSPORTS ACT, 1967",act,11,1108,492,7,0.001262,0.000295,False,
DACOITY,crime_head,7,5795,5276,5,0.001218,3.7e-05,False,Bengaluru City; Bengaluru Rural; Ramanagara
"IMMORAL TRAFFIC PREVENTION ACT, 1956",act,5,3512,2213,2,0.001201,0.000406,False,
SUICIDE,crime_head,7,6237,6074,2,0.00119,3.5e-05,False,Bengaluru City; Mandya; Belagavi
ANTIQUES (CULTURAL PROPERTY),crime_head,2,54,53,2,0.001174,0.005417,False,Vijayanagara; Vijayapura; Bagalkote
"(r),3(1)(s) IPC 1860",act,5,1476,612,1,0.001161,0.0,False,
RAPE,crime_head,13,4683,4062,1,0.001132,3.7e-05,False,Bengaluru City; Belagavi; Raichur
KARNATAKA OPEN PLACE DISFIGUREMENT ACT 1951 & 1981,act,10,3552,2766,4,0.001132,0.000263,False,
"PDS CONTROLING ORDER, 1992",act,3,859,403,6,0.00112,0.0,False,
MISCHIEF,crime_head,12,4364,3570,5,0.001106,0.000118,False,Bengaluru City; Mandya; Mangaluru City
IMMORAL TRAFFIC,crime_head,3,3250,2085,2,0.001092,5e-06,False,Bengaluru City; Mysuru City; Mangaluru City
CRIMINAL BREACH OF TRUST,crime_head,7,3944,3722,2,0.001063,3.6e-05,False,Bengaluru City; Bengaluru Rural; Uttara Kannada
"ANCIENT MONUMENT & ARCH.SITES & REMAINS ACT,1958",act,1,38,46,2,0.001013,0.0,False,
PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,crime_head,10,2462,1217,5,0.000971,7e-05,False,Bengaluru City; Belagavi; Hassan
ARMS ACT 1959,crime_head,5,2192,1651,5,0.000943,9e-06,False,Bengaluru City; Chikkamagaluru; Uttara Kannada
KARNATAKA FOREST ACT 1963,act,7,2316,1118,0,0.000938,0.000202,False,
REPRESENTATION OF PEOPLE ACT 1951 & 1988,crime_head,5,2106,1276,4,0.000926,9e-06,False,Bengaluru City; Mysuru; Belagavi
ELECTION,crime_head,8,3311,2648,4,0.000925,2.7e-05,False,Bengaluru City; Chikkaballapura; Bagalkote
THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,act,11,2291,1111,0,0.00092,9.2e-05,False,
"Juvenile Justice (Care and Protection of Children) Act, 2015",act,15,1691,888,3,0.000894,0.006765,False,
"KARNATAKA POLICE (AMENDMENT) ACT, 2021",act,4,5621,5418,4,0.000866,0.001871,False,
Disobedience to Order Promulgated by PublicServan,crime_head,12,3756,2713,4,0.000864,6.1e-05,False,Bengaluru City; Vijayapura; Mandya
