district,kgis_code,cases,detected,undetected,detection_rate,convicted,conviction_rate
Bengaluru Urban,20,425408,268783,94384,0.7401,73310,0.1723
Mysuru,26,81109,64290,8143,0.8876,15454,0.1905
Belagavi,01,80446,64961,6939,0.9035,17960,0.2233
Bengaluru Rural,21,64004,44347,10306,0.8114,6616,0.1034
Tumakuru,18,61553,50861,5087,0.9091,15361,0.2496
Shivamogga,15,61338,51243,3718,0.9324,12187,0.1987
Mandya,22,59701,50298,5623,0.8994,13105,0.2195
Hassan,23,58256,50342,3390,0.9369,13687,0.2349
Dakshina Kannada,24,52669,43185,3406,0.9269,14874,0.2824
Kalaburagi,04,51574,42228,3606,0.9213,9949,0.1929
Chitradurga,13,47754,40500,3269,0.9253,11632,0.2436
Ramanagara,29,44232,34937,4814,0.8789,6281,0.142
Vijayapura,03,39508,32786,2540,0.9281,8874,0.2246
Davanagere,14,39041,31300,3475,0.9001,9649,0.2472
Dharwad,09,38953,30309,4183,0.8787,7559,0.1941
Bidar,05,37861,31884,2753,0.9205,9505,0.251
Chikkaballapura,28,36545,31469,2460,0.9275,11055,0.3025
Raichur,06,36496,31815,1580,0.9527,7218,0.1978
Chikkamagaluru,17,35485,30001,1704,0.9463,5536,0.156
Kolar,19,33904,26828,3156,0.8947,5003,0.1476
Uttara Kannada,10,32690,27360,1656,0.9429,9477,0.2899
Haveri,11,29771,23874,2185,0.9162,6385,0.2145
Udupi,16,28431,23836,1399,0.9446,9688,0.3408
Ballari,12,28426,23760,2121,0.918,8055,0.2834
Bagalkote,02,28123,23356,1848,0.9267,5931,0.2109
Vijayanagara,31,25815,22648,1287,0.9462,6580,0.2549
Koppal,07,24926,21575,1203,0.9472,3048,0.1223
Chamarajanagar,27,23043,20478,1299,0.9403,5960,0.2586
Yadgir,30,19511,17402,772,0.9575,3132,0.1605
Kodagu,25,19247,16364,1080,0.9381,3828,0.1989
Gadag,08,18502,16012,866,0.9487,6153,0.3326
Karnataka Railways,,9888,4336,4818,0.4737,404,0.0409
Coastal Security Police,,213,180,8,0.9574,93,0.4366
CID,,172,13,85,0.1327,0,0.0
ISD Bengaluru,,139,135,0,1.0,111,0.7986
