case_id,district,year,crime_head
SYN-C-00000,Bengaluru Urban,2023,CHEATING
SYN-C-00001,Mysuru,2021,THEFT
SYN-C-00002,Bengaluru Urban,2023,THEFT
SYN-C-00003,Bengaluru Urban,2020,BURGLARY - NIGHT
SYN-C-00004,Bengaluru Urban,2020,THEFT
SYN-C-00005,Mysuru,2020,THEFT
SYN-C-00006,Belagavi,2019,CHEATING
SYN-C-00007,Kalaburagi,2022,ROBBERY
SYN-C-00008,Kalaburagi,2020,BURGLARY - NIGHT
SYN-C-00009,Bengaluru Urban,2022,CHEATING
SYN-C-00010,Bengaluru Urban,2020,THEFT
SYN-C-00011,Bengaluru Urban,2020,THEFT
SYN-C-00012,Bengaluru Urban,2020,DACOITY
SYN-C-00013,Bengaluru Urban,2021,THEFT
SYN-C-00014,Bengaluru Urban,2022,ROBBERY
SYN-C-00015,Bengaluru Urban,2022,THEFT
SYN-C-00016,Tumakuru,2023,THEFT
SYN-C-00017,Kalaburagi,2019,THEFT
SYN-C-00018,Bengaluru Urban,2023,CHEATING
SYN-C-00019,Tumakuru,2023,MURDER
SYN-C-00020,Bengaluru Urban,2019,THEFT
SYN-C-00021,Bengaluru Urban,2019,THEFT
SYN-C-00022,Bengaluru Urban,2023,CHEATING
SYN-C-00023,Belagavi,2022,CHEATING
SYN-C-00024,Belagavi,2021,THEFT
SYN-C-00025,Bengaluru Urban,2022,THEFT
SYN-C-00026,Bengaluru Urban,2022,CHEATING
SYN-C-00027,Mysuru,2022,THEFT
SYN-C-00028,Bengaluru Urban,2023,CHEATING
SYN-C-00029,Bengaluru Urban,2022,THEFT
SYN-C-00030,Bengaluru Urban,2022,MURDER
SYN-C-00031,Bengaluru Urban,2020,CHEATING
SYN-C-00032,Belagavi,2019,THEFT
SYN-C-00033,Bengaluru Urban,2019,THEFT
SYN-C-00034,Bengaluru Urban,2023,THEFT
SYN-C-00035,Bengaluru Urban,2019,THEFT
SYN-C-00036,Bengaluru Urban,2021,DACOITY
SYN-C-00037,Belagavi,2019,CHEATING
SYN-C-00038,Kalaburagi,2023,BURGLARY - NIGHT
SYN-C-00039,Bengaluru Urban,2019,THEFT
SYN-C-00040,Bengaluru Urban,2020,THEFT
SYN-C-00041,Mysuru,2021,BURGLARY - NIGHT
SYN-C-00042,Bengaluru Urban,2022,THEFT
SYN-C-00043,Mysuru,2019,BURGLARY - NIGHT
SYN-C-00044,Bengaluru Urban,2023,CHEATING
SYN-C-00045,Bengaluru Urban,2023,THEFT
SYN-C-00046,Bengaluru Urban,2019,CHEATING
SYN-C-00047,Bengaluru Urban,2022,THEFT
SYN-C-00048,Bengaluru Urban,2022,THEFT
