case_id,person_token,role,district,year
SYN-C-00000,PT-9f7f42766bfe,accused,Bengaluru Urban,2023
SYN-C-00001,PT-90360350169a,accused,Mysuru,2021
SYN-C-00002,PT-906a7bd3245d,accused,Bengaluru Urban,2023
SYN-C-00003,PT-5366d4c3d647,accused,Bengaluru Urban,2020
SYN-C-00003,PT-fd42f3b5f98f,accused,Bengaluru Urban,2020
SYN-C-00003,PT-de6c58cfcac1,accused,Bengaluru Urban,2020
SYN-C-00004,PT-70dcb0f6e363,accused,Bengaluru Urban,2020
SYN-C-00004,PT-13570ec67990,accused,Bengaluru Urban,2020
SYN-C-00005,PT-64ec761b08da,accused,Mysuru,2020
SYN-C-00006,PT-107eb704209a,accused,Belagavi,2019
SYN-C-00007,PT-c0db464d88e2,accused,Kalaburagi,2022
SYN-C-00007,PT-6c8773a0c6aa,accused,Kalaburagi,2022
SYN-C-00008,PT-d51d30282929,accused,Kalaburagi,2020
SYN-C-00008,PT-32e95e1a185e,accused,Kalaburagi,2020
SYN-C-00008,PT-08014fd196ed,accused,Kalaburagi,2020
SYN-C-00009,PT-189a8e0d0242,accused,Bengaluru Urban,2022
SYN-C-00009,PT-ce4b80df48df,accused,Bengaluru Urban,2022
SYN-C-00010,PT-f7f824ec3edf,accused,Bengaluru Urban,2020
SYN-C-00010,PT-a257bd4cf61f,accused,Bengaluru Urban,2020
SYN-C-00011,PT-50a702fcaf51,accused,Bengaluru Urban,2020
SYN-C-00012,PT-64877faa7769,accused,Bengaluru Urban,2020
SYN-C-00012,PT-d4fbb22dd2f1,accused,Bengaluru Urban,2020
SYN-C-00012,PT-82ef14f97589,accused,Bengaluru Urban,2020
SYN-C-00012,PT-91516ab153b2,accused,Bengaluru Urban,2020
SYN-C-00012,PT-57155041e2c0,accused,Bengaluru Urban,2020
SYN-C-00012,PT-c57a48a6f626,accused,Bengaluru Urban,2020
SYN-C-00012,PT-982975d5fdde,accused,Bengaluru Urban,2020
SYN-C-00013,PT-50adbfcec420,accused,Bengaluru Urban,2021
SYN-C-00013,PT-dcbad488525d,accused,Bengaluru Urban,2021
SYN-C-00014,PT-9209070d06f2,accused,Bengaluru Urban,2022
SYN-C-00014,PT-c0db464d88e2,accused,Bengaluru Urban,2022
SYN-C-00014,PT-3a719cd8cc8f,accused,Bengaluru Urban,2022
SYN-C-00014,PT-c099e307ece9,accused,Bengaluru Urban,2022
SYN-C-00015,PT-9fb05786e45e,accused,Bengaluru Urban,2022
SYN-C-00015,PT-649a7a7bc91d,accused,Bengaluru Urban,2022
SYN-C-00016,PT-90fbec1baf81,accused,Tumakuru,2023
SYN-C-00017,PT-025a5343e4f7,accused,Kalaburagi,2019
SYN-C-00017,PT-af4808727efb,accused,Kalaburagi,2019
SYN-C-00018,PT-5d8129e9ff21,accused,Bengaluru Urban,2023
SYN-C-00019,PT-c0db464d88e2,accused,Tumakuru,2023
SYN-C-00020,PT-f3b272084b9b,accused,Bengaluru Urban,2019
SYN-C-00020,PT-31d47875cc85,accused,Bengaluru Urban,2019
SYN-C-00021,PT-d51d30282929,accused,Bengaluru Urban,2019
SYN-C-00022,PT-e63e05a2c06f,accused,Bengaluru Urban,2023
SYN-C-00023,PT-389f9f40f1a7,accused,Belagavi,2022
SYN-C-00023,PT-a4c1ab7b03c2,accused,Belagavi,2022
SYN-C-00024,PT-340c5bdd3ab5,accused,Belagavi,2021
SYN-C-00024,PT-d54514b3e743,accused,Belagavi,2021
SYN-C-00025,PT-8bb403603d28,accused,Bengaluru Urban,2022
SYN-C-00025,PT-bc2f920b546c,accused,Bengaluru Urban,2022
SYN-C-00026,PT-9fb05786e45e,accused,Bengaluru Urban,2022
SYN-C-00027,PT-dfa32d232107,accused,Mysuru,2022
SYN-C-00028,PT-087a31ba66a3,accused,Bengaluru Urban,2023
SYN-C-00028,PT-a88381621efc,accused,Bengaluru Urban,2023
SYN-C-00029,PT-49f0b6d2a5a2,accused,Bengaluru Urban,2022
SYN-C-00029,PT-55f944fca9e5,accused,Bengaluru Urban,2022
SYN-C-00030,PT-d4fbb22dd2f1,accused,Bengaluru Urban,2022
SYN-C-00031,PT-cc8e155c20fe,accused,Bengaluru Urban,2020
SYN-C-00032,PT-09a9ad90a306,accused,Belagavi,2019
SYN-C-00032,PT-1d590b805611,accused,Belagavi,2019
SYN-C-00033,PT-03dc6d0c9ddc,accused,Bengaluru Urban,2019
SYN-C-00034,PT-5d8129e9ff21,accused,Bengaluru Urban,2023
SYN-C-00035,PT-914673afb7d1,accused,Bengaluru Urban,2019
SYN-C-00036,PT-60ff49185d3e,accused,Bengaluru Urban,2021
SYN-C-00036,PT-b2f4e96dd3d0,accused,Bengaluru Urban,2021
SYN-C-00036,PT-21014a7d16c4,accused,Bengaluru Urban,2021
SYN-C-00036,PT-e2c8c4eccdac,accused,Bengaluru Urban,2021
SYN-C-00036,PT-b45deff553f4,accused,Bengaluru Urban,2021
SYN-C-00037,PT-cc89a2417a64,accused,Belagavi,2019
SYN-C-00038,PT-d1cd8111276a,accused,Kalaburagi,2023
SYN-C-00039,PT-9f0836d56202,accused,Bengaluru Urban,2019
SYN-C-00040,PT-50a702fcaf51,accused,Bengaluru Urban,2020
SYN-C-00041,PT-b49113f68853,accused,Mysuru,2021
SYN-C-00041,PT-33dd0af3c60a,accused,Mysuru,2021
SYN-C-00042,PT-5366d4c3d647,accused,Bengaluru Urban,2022
SYN-C-00042,PT-866e78df7a12,accused,Bengaluru Urban,2022
SYN-C-00043,PT-90360350169a,accused,Mysuru,2019
SYN-C-00043,PT-74c73ea76d20,accused,Mysuru,2019
SYN-C-00043,PT-491ecb4546ce,accused,Mysuru,2019
SYN-C-00044,PT-985a9621838d,accused,Bengaluru Urban,2023
