src,dst,edge_type,case_id
SYN-P-00443,SYN-P-01142,co_accused,SYN-C-00003
SYN-P-00443,SYN-P-00987,co_accused,SYN-C-00003
SYN-P-01142,SYN-P-00987,co_accused,SYN-C-00003
SYN-P-00447,SYN-P-00906,co_accused,SYN-C-00004
SYN-P-00018,SYN-P-01113,co_accused,SYN-C-00007
SYN-P-00943,SYN-P-00322,co_accused,SYN-C-00008
SYN-P-00943,SYN-P-00079,co_accused,SYN-C-00008
SYN-P-00322,SYN-P-00079,co_accused,SYN-C-00008
SYN-P-01155,SYN-P-01171,co_accused,SYN-C-00009
SYN-P-00240,SYN-P-01332,co_accused,SYN-C-00010
SYN-P-01616,SYN-P-01603,co_accused,SYN-C-00012
SYN-P-01616,SYN-P-01239,co_accused,SYN-C-00012
SYN-P-01616,SYN-P-01639,co_accused,SYN-C-00012
SYN-P-01616,SYN-P-01856,co_accused,SYN-C-00012
SYN-P-01616,SYN-P-00890,co_accused,SYN-C-00012
SYN-P-01616,SYN-P-01658,co_accused,SYN-C-00012
SYN-P-01603,SYN-P-01239,co_accused,SYN-C-00012
SYN-P-01603,SYN-P-01639,co_accused,SYN-C-00012
SYN-P-01603,SYN-P-01856,co_accused,SYN-C-00012
SYN-P-01603,SYN-P-00890,co_accused,SYN-C-00012
SYN-P-01603,SYN-P-01658,co_accused,SYN-C-00012
SYN-P-01239,SYN-P-01639,co_accused,SYN-C-00012
SYN-P-01239,SYN-P-01856,co_accused,SYN-C-00012
SYN-P-01239,SYN-P-00890,co_accused,SYN-C-00012
SYN-P-01239,SYN-P-01658,co_accused,SYN-C-00012
SYN-P-01639,SYN-P-01856,co_accused,SYN-C-00012
SYN-P-01639,SYN-P-00890,co_accused,SYN-C-00012
SYN-P-01639,SYN-P-01658,co_accused,SYN-C-00012
SYN-P-01856,SYN-P-00890,co_accused,SYN-C-00012
SYN-P-01856,SYN-P-01658,co_accused,SYN-C-00012
SYN-P-00890,SYN-P-01658,co_accused,SYN-C-00012
SYN-P-00346,SYN-P-00253,co_accused,SYN-C-00013
SYN-P-00125,SYN-P-00018,co_accused,SYN-C-00014
SYN-P-00125,SYN-P-00975,co_accused,SYN-C-00014
SYN-P-00125,SYN-P-00112,co_accused,SYN-C-00014
SYN-P-00018,SYN-P-00975,co_accused,SYN-C-00014
SYN-P-00018,SYN-P-00112,co_accused,SYN-C-00014
SYN-P-00975,SYN-P-00112,co_accused,SYN-C-00014
SYN-P-01579,SYN-P-00399,co_accused,SYN-C-00015
SYN-P-00239,SYN-P-00452,co_accused,SYN-C-00017
SYN-P-01693,SYN-P-01632,co_accused,SYN-C-00020
SYN-P-01830,SYN-P-01482,co_accused,SYN-C-00023
SYN-P-01388,SYN-P-00833,co_accused,SYN-C-00024
SYN-P-01859,SYN-P-01019,co_accused,SYN-C-00025
SYN-P-00951,SYN-P-01873,co_accused,SYN-C-00028
SYN-P-01828,SYN-P-00050,co_accused,SYN-C-00029
SYN-P-01495,SYN-P-00352,co_accused,SYN-C-00032
SYN-P-00148,SYN-P-00993,co_accused,SYN-C-00036
SYN-P-00148,SYN-P-01031,co_accused,SYN-C-00036
SYN-P-00148,SYN-P-00189,co_accused,SYN-C-00036
SYN-P-00148,SYN-P-01026,co_accused,SYN-C-00036
SYN-P-00993,SYN-P-01031,co_accused,SYN-C-00036
SYN-P-00993,SYN-P-00189,co_accused,SYN-C-00036
SYN-P-00993,SYN-P-01026,co_accused,SYN-C-00036
SYN-P-01031,SYN-P-00189,co_accused,SYN-C-00036
SYN-P-01031,SYN-P-01026,co_accused,SYN-C-00036
SYN-P-00189,SYN-P-01026,co_accused,SYN-C-00036
SYN-P-00226,SYN-P-00175,co_accused,SYN-C-00041
SYN-P-00443,SYN-P-00332,co_accused,SYN-C-00042
SYN-P-00770,SYN-P-01791,co_accused,SYN-C-00043
SYN-P-00770,SYN-P-01762,co_accused,SYN-C-00043
SYN-P-01791,SYN-P-01762,co_accused,SYN-C-00043
SYN-P-01221,SYN-P-00847,co_accused,SYN-C-00049
SYN-P-01306,SYN-P-00831,co_accused,SYN-C-00051
SYN-P-01642,SYN-P-01147,co_accused,SYN-C-00052
SYN-P-00386,SYN-P-01695,co_accused,SYN-C-00054
SYN-P-01495,SYN-P-00649,co_accused,SYN-C-00055
SYN-P-01486,SYN-P-00052,co_accused,SYN-C-00057
SYN-P-01843,SYN-P-01373,co_accused,SYN-C-00058
SYN-P-01826,SYN-P-01357,co_accused,SYN-C-00059
SYN-P-01828,SYN-P-00167,co_accused,SYN-C-00061
SYN-P-01352,SYN-P-01348,co_accused,SYN-C-00063
SYN-P-01848,SYN-P-00216,co_accused,SYN-C-00064
SYN-P-01830,SYN-P-01600,co_accused,SYN-C-00065
SYN-P-01830,SYN-P-00638,co_accused,SYN-C-00066
SYN-P-00625,SYN-P-01089,co_accused,SYN-C-00071
SYN-P-01239,SYN-P-01199,co_accused,SYN-C-00073
SYN-P-00081,SYN-P-00279,co_accused,SYN-C-00074
SYN-P-01532,SYN-P-00307,co_accused,SYN-C-00075
SYN-P-00346,SYN-P-00545,co_accused,SYN-C-00076
SYN-P-00240,SYN-P-00593,co_accused,SYN-C-00077
SYN-P-00125,SYN-P-00889,co_accused,SYN-C-00083
SYN-P-01668,SYN-P-00644,co_accused,SYN-C-00086
SYN-P-00534,SYN-P-01443,co_accused,SYN-C-00087
SYN-P-01800,SYN-P-01542,co_accused,SYN-C-00090
SYN-P-00201,SYN-P-01266,co_accused,SYN-C-00094
SYN-P-00874,SYN-P-01317,co_accused,SYN-C-00095
