canonical_name,kgis_code,year,month,category,count,expected,anomaly_score,reason
Dharwad,09,2017,7,CrPC,704,139.2,0.9488,"Jul 2017: 704 Crpc in Dharwad vs ~139 expected (5.1x, z=5.8) - spike."
Mysuru,26,2018,4,CrPC,1738,384.6,0.942,"Apr 2018: 1,738 Crpc in Mysuru vs ~385 expected (4.5x, z=6.3) - spike."
Uttara Kannada,10,2017,12,RIOTS,69,14.8,0.942,"Dec 2017: 69 Riots in Uttara Kannada vs ~15 expected (4.7x, z=7.5) - spike."
Dharwad,09,2021,5,Karnataka State Local Act,136,28.8,0.9396,"May 2021: 136 Karnataka State Local Act in Dharwad vs ~29 expected (4.7x, z=5.1) - spike."
Ramanagara,29,2022,2,Karnataka State Local Act,197,43.6,0.9396,"Feb 2022: 197 Karnataka State Local Act in Ramanagara vs ~44 expected (4.5x, z=5.6) - spike."
Tumakuru,18,2017,10,Karnataka State Local Act,255,57.8,0.9396,"Oct 2017: 255 Karnataka State Local Act in Tumakuru vs ~58 expected (4.4x, z=5.2) - spike."
Haveri,11,2016,2,Karnataka State Local Act,77,18.0,0.9334,"Feb 2016: 77 Karnataka State Local Act in Haveri vs ~18 expected (4.3x, z=5.7) - spike."
Dharwad,09,2021,6,Karnataka State Local Act,128,29.6,0.9322,"Jun 2021: 128 Karnataka State Local Act in Dharwad vs ~30 expected (4.3x, z=4.6) - spike."
Hassan,23,2018,4,Karnataka State Local Act,309,75.5,0.9309,"Apr 2018: 309 Karnataka State Local Act in Hassan vs ~76 expected (4.1x, z=6.7) - spike."
Hassan,23,2020,4,KARNATAKA POLICE ACT 1963,100,25.0,0.9291,"Apr 2020: 100 Karnataka Police Act 1963 in Hassan vs ~25 expected (4.0x, z=5.8) - spike."
Dakshina Kannada,24,2021,5,Karnataka State Local Act,114,27.5,0.9285,"May 2021: 114 Karnataka State Local Act in Dakshina Kannada vs ~28 expected (4.1x, z=5.4) - spike."
Bengaluru Urban,20,2016,8,PUBLIC SAFETY,2479,526.4,0.926,"Aug 2016: 2,479 Public Safety in Bengaluru Urban vs ~526 expected (4.7x, z=4.4) - spike."
Raichur,06,2017,7,CrPC,897,188.4,0.9217,"Jul 2017: 897 Crpc in Raichur vs ~188 expected (4.8x, z=4.2) - spike."
Gadag,08,2017,10,Karnataka State Local Act,113,30.0,0.9217,"Oct 2017: 113 Karnataka State Local Act in Gadag vs ~30 expected (3.8x, z=4.8) - spike."
Kolar,19,2021,5,Karnataka State Local Act,91,24.4,0.9211,"May 2021: 91 Karnataka State Local Act in Kolar vs ~24 expected (3.7x, z=5.0) - spike."
Dharwad,09,2016,11,CHEATING,54,15.4,0.9175,"Nov 2016: 54 Cheating in Dharwad vs ~15 expected (3.5x, z=5.9) - spike."
Ramanagara,29,2020,4,KARNATAKA POLICE ACT 1963,85,24.2,0.915,"Apr 2020: 85 Karnataka Police Act 1963 in Ramanagara vs ~24 expected (3.5x, z=5.5) - spike."
Davanagere,14,2021,5,Karnataka State Local Act,115,33.5,0.915,"May 2021: 115 Karnataka State Local Act in Davanagere vs ~34 expected (3.4x, z=5.5) - spike."
