rule_type,antecedent_type,antecedent,consequent_type,consequent,cases,support,confidence,lift,reading
co_occurrence,act,"EXPLOSIVE ACT, 1884",crime_head,EXPLOSIVES,528,0.000315,0.9362,1800.04,"In 94% of Explosive Act, 1884 cases, Explosives also appears (528 cases, 1800.0x more often than chance)."
co_occurrence,crime_head,EXPLOSIVES,act,"EXPLOSIVE ACT, 1884",528,0.000315,0.6062,1800.04,"In 61% of Explosives cases, Explosive Act, 1884 also appears (528 cases, 1800.0x more often than chance)."
co_occurrence,act,"COPYRIGHT ACT, 1957",crime_head,COPY RIGHT ACT 1957,1406,0.00084,0.9299,1106.84,"In 93% of Copyright Act, 1957 cases, Copy Right Act 1957 also appears (1,406 cases, 1106.8x more often than chance)."
co_occurrence,crime_head,COPY RIGHT ACT 1957,act,"COPYRIGHT ACT, 1957",1406,0.00084,0.9993,1106.84,"In 100% of Copy Right Act 1957 cases, Copyright Act, 1957 also appears (1,406 cases, 1106.8x more often than chance)."
co_occurrence,act,"REPRESENTATION OF PEOPLE ACT, 1951 & 1988",crime_head,REPRESENTATION OF PEOPLE ACT 1951 & 1988,525,0.000313,0.7447,977.38,"In 74% of Representation Of People Act, 1951 & 1988 cases, Representation Of People Act 1951 & 1988 also appears (525 cases, 977.4x more often than chance)."
co_occurrence,crime_head,REPRESENTATION OF PEOPLE ACT 1951 & 1988,act,"REPRESENTATION OF PEOPLE ACT, 1951 & 1988",525,0.000313,0.4114,977.38,"In 41% of Representation Of People Act 1951 & 1988 cases, Representation Of People Act, 1951 & 1988 also appears (525 cases, 977.4x more often than chance)."
co_occurrence,act,"REPRESENTATION OF PEOPLE ACT, 1950,1951,1989",crime_head,REPRESENTATION OF PEOPLE ACT 1951 & 1988,764,0.000456,0.6638,871.19,"In 66% of Representation Of People Act, 1950,1951,1989 cases, Representation Of People Act 1951 & 1988 also appears (764 cases, 871.2x more often than chance)."
co_occurrence,crime_head,REPRESENTATION OF PEOPLE ACT 1951 & 1988,act,"REPRESENTATION OF PEOPLE ACT, 1950,1951,1989",764,0.000456,0.5987,871.19,"In 60% of Representation Of People Act 1951 & 1988 cases, Representation Of People Act, 1950,1951,1989 also appears (764 cases, 871.2x more often than chance)."
co_occurrence,act,"IMMORAL TRAFFIC PREVENTION ACT, 1956",crime_head,IMMORAL TRAFFIC,2084,0.001244,0.9417,756.41,"In 94% of Immoral Traffic Prevention Act, 1956 cases, Immoral Traffic also appears (2,084 cases, 756.4x more often than chance)."
co_occurrence,crime_head,IMMORAL TRAFFIC,act,"IMMORAL TRAFFIC PREVENTION ACT, 1956",2084,0.001244,0.9995,756.41,"In 100% of Immoral Traffic cases, Immoral Traffic Prevention Act, 1956 also appears (2,084 cases, 756.4x more often than chance)."
co_occurrence,act,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",crime_head,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,563,0.000336,0.4767,656.01,"In 48% of Prevention Of Damage To Public Property Act, 1984 cases, Prevention Of Damage To Public Property Act 1984 also appears (563 cases, 656.0x more often than chance)."
co_occurrence,crime_head,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,act,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",563,0.000336,0.4626,656.01,"In 46% of Prevention Of Damage To Public Property Act 1984 cases, Prevention Of Damage To Public Property Act, 1984 also appears (563 cases, 656.0x more often than chance)."
