level,key,category,year,month,y_actual,yhat,yhat_lower,yhat_upper,is_forecast,method
state,Karnataka,ALL,2016,1,20912.0,,,,0,
state,Karnataka,ALL,2016,2,20726.0,,,,0,
state,Karnataka,ALL,2016,3,19259.0,,,,0,
state,Karnataka,ALL,2016,4,17115.0,,,,0,
state,Karnataka,ALL,2016,5,18153.0,,,,0,
state,Karnataka,ALL,2016,6,16877.0,,,,0,
state,Karnataka,ALL,2016,7,19323.0,,,,0,
state,Karnataka,ALL,2016,8,22291.0,,,,0,
state,Karnataka,ALL,2016,9,18982.0,,,,0,
state,Karnataka,ALL,2016,10,18130.0,,,,0,
state,Karnataka,ALL,2016,11,17736.0,,,,0,
state,Karnataka,ALL,2016,12,16578.0,,,,0,
state,Karnataka,ALL,2017,1,16986.0,,,,0,
state,Karnataka,ALL,2017,2,18336.0,,,,0,
state,Karnataka,ALL,2017,3,21604.0,,,,0,
state,Karnataka,ALL,2017,4,22492.0,,,,0,
state,Karnataka,ALL,2017,5,25777.0,,,,0,
state,Karnataka,ALL,2017,6,25887.0,,,,0,
state,Karnataka,ALL,2017,7,24184.0,,,,0,
state,Karnataka,ALL,2017,8,19537.0,,,,0,
state,Karnataka,ALL,2017,9,17029.0,,,,0,
state,Karnataka,ALL,2017,10,18268.0,,,,0,
state,Karnataka,ALL,2017,11,18303.0,,,,0,
state,Karnataka,ALL,2017,12,16375.0,,,,0,
state,Karnataka,ALL,2018,1,17774.0,,,,0,
state,Karnataka,ALL,2018,2,26850.0,,,,0,
state,Karnataka,ALL,2018,3,27246.0,,,,0,
state,Karnataka,ALL,2018,4,29658.0,,,,0,
state,Karnataka,ALL,2018,5,15040.0,,,,0,
state,Karnataka,ALL,2018,6,14885.0,,,,0,
state,Karnataka,ALL,2018,7,14985.0,,,,0,
state,Karnataka,ALL,2018,8,14101.0,,,,0,
state,Karnataka,ALL,2018,9,14093.0,,,,0,
state,Karnataka,ALL,2018,10,14555.0,,,,0,
state,Karnataka,ALL,2018,11,14483.0,,,,0,
state,Karnataka,ALL,2018,12,14408.0,,,,0,
state,Karnataka,ALL,2019,1,14316.0,,,,0,
state,Karnataka,ALL,2019,2,13689.0,,,,0,
state,Karnataka,ALL,2019,3,16046.0,,,,0,
state,Karnataka,ALL,2019,4,14581.0,,,,0,
state,Karnataka,ALL,2019,5,15445.0,,,,0,
state,Karnataka,ALL,2019,6,15512.0,,,,0,
state,Karnataka,ALL,2019,7,15322.0,,,,0,
state,Karnataka,ALL,2019,8,13603.0,,,,0,
state,Karnataka,ALL,2019,9,12986.0,,,,0,
state,Karnataka,ALL,2019,10,14324.0,,,,0,
state,Karnataka,ALL,2019,11,14139.0,,,,0,
state,Karnataka,ALL,2019,12,13907.0,,,,0,
state,Karnataka,ALL,2020,1,13770.0,,,,0,
state,Karnataka,ALL,2020,2,14914.0,,,,0,
state,Karnataka,ALL,2020,3,14848.0,,,,0,
state,Karnataka,ALL,2020,4,9561.0,,,,0,
state,Karnataka,ALL,2020,5,12413.0,,,,0,
state,Karnataka,ALL,2020,6,12952.0,,,,0,
state,Karnataka,ALL,2020,7,12416.0,,,,0,
state,Karnataka,ALL,2020,8,13423.0,,,,0,
state,Karnataka,ALL,2020,9,14719.0,,,,0,
state,Karnataka,ALL,2020,10,13560.0,,,,0,
state,Karnataka,ALL,2020,11,13544.0,,,,0,
state,Karnataka,ALL,2020,12,13746.0,,,,0,
state,Karnataka,ALL,2021,1,13993.0,,,,0,
state,Karnataka,ALL,2021,2,13524.0,,,,0,
state,Karnataka,ALL,2021,3,15116.0,,,,0,
state,Karnataka,ALL,2021,4,15137.0,,,,0,
state,Karnataka,ALL,2021,5,14573.0,,,,0,
state,Karnataka,ALL,2021,6,14178.0,,,,0,
state,Karnataka,ALL,2021,7,14879.0,,,,0,
state,Karnataka,ALL,2021,8,15074.0,,,,0,
state,Karnataka,ALL,2021,9,14689.0,,,,0,
state,Karnataka,ALL,2021,10,14185.0,,,,0,
state,Karnataka,ALL,2021,11,14181.0,,,,0,
state,Karnataka,ALL,2021,12,15505.0,,,,0,
state,Karnataka,ALL,2022,1,15131.0,,,,0,
state,Karnataka,ALL,2022,2,15036.0,,,,0,
state,Karnataka,ALL,2022,3,16780.0,,,,0,
state,Karnataka,ALL,2022,4,16245.0,,,,0,
state,Karnataka,ALL,2022,5,17938.0,,,,0,
state,Karnataka,ALL,2022,6,16924.0,,,,0,
state,Karnataka,ALL,2022,7,16143.0,,,,0,
state,Karnataka,ALL,2022,8,16009.0,,,,0,
state,Karnataka,ALL,2022,9,15336.0,,,,0,
state,Karnataka,ALL,2022,10,15312.0,,,,0,
state,Karnataka,ALL,2022,11,15834.0,,,,0,
state,Karnataka,ALL,2022,12,17306.0,,,,0,
state,Karnataka,ALL,2023,1,16041.0,,,,0,
