cluster_id,centroid_lat,centroid_lng,n_points,total_count,canonical_name,radius_km,top_category,deployment_note
61,12.97833,77.59376,2004,402838,Bengaluru Urban,33.45,THEFT,"~402,838 FIRs concentrated near Bengaluru Urban (radius ~33.45 km). Dominant crime head in Bengaluru Urban: Theft. Prioritise patrol / resource deployment."
23,12.33552,76.6427,301,36808,Mysuru,12.7,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~36,808 FIRs concentrated near Mysuru (radius ~12.7 km). Dominant crime head in Mysuru: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
73,12.89302,74.85337,321,19672,Dakshina Kannada,13.97,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~19,672 FIRs concentrated near Dakshina Kannada (radius ~13.97 km). Dominant crime head in Dakshina Kannada: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
432,17.3325,76.84149,163,16665,Kalaburagi,8.05,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~16,665 FIRs concentrated near Kalaburagi (radius ~8.05 km). Dominant crime head in Kalaburagi: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
303,15.35335,75.1329,147,16276,Dharwad,8.67,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~16,276 FIRs concentrated near Dharwad (radius ~8.67 km). Dominant crime head in Dharwad: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
204,13.93239,75.56498,119,15535,Shivamogga,6.99,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~15,535 FIRs concentrated near Shivamogga (radius ~6.99 km). Dominant crime head in Shivamogga: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
338,15.86457,74.51329,161,14653,Belagavi,9.67,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~14,653 FIRs concentrated near Belagavi (radius ~9.67 km). Dominant crime head in Belagavi: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
138,13.33331,77.11302,159,12590,Tumakuru,8.55,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~12,590 FIRs concentrated near Tumakuru (radius ~8.55 km). Dominant crime head in Tumakuru: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
243,14.45929,75.92047,99,12329,Davanagere,6.48,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~12,329 FIRs concentrated near Davanagere (radius ~6.48 km). Dominant crime head in Davanagere: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
226,14.22925,76.40056,60,10129,Chitradurga,5.36,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~10,129 FIRs concentrated near Chitradurga (radius ~5.36 km). Dominant crime head in Chitradurga: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
43,12.52436,76.8869,52,9715,Mandya,5.26,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~9,715 FIRs concentrated near Mandya (radius ~5.26 km). Dominant crime head in Mandya: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
199,13.83829,75.6962,91,8708,Shivamogga,6.29,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~8,708 FIRs concentrated near Shivamogga (radius ~6.29 km). Dominant crime head in Shivamogga: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
44,12.55694,77.37322,187,8229,Ramanagara,9.33,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~8,229 FIRs concentrated near Ramanagara (radius ~9.33 km). Dominant crime head in Ramanagara: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
312,15.45671,75.00195,85,7999,Dharwad,6.29,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~7,999 FIRs concentrated near Dharwad (radius ~6.29 km). Dominant crime head in Dharwad: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
410,16.82992,75.72087,103,7749,Vijayapura,6.64,KARNATAKA POLICE ACT 1963,"~7,749 FIRs concentrated near Vijayapura (radius ~6.64 km). Dominant crime head in Vijayapura: Karnataka Police Act 1963. Prioritise patrol / resource deployment."
134,13.32469,75.78349,80,7678,Chikkamagaluru,6.13,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~7,678 FIRs concentrated near Chikkamagaluru (radius ~6.13 km). Dominant crime head in Chikkamagaluru: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
94,13.00464,76.10511,86,7544,Hassan,5.6,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~7,544 FIRs concentrated near Hassan (radius ~5.6 km). Dominant crime head in Hassan: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
60,12.72395,77.28811,54,7412,Ramanagara,5.29,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~7,412 FIRs concentrated near Ramanagara (radius ~5.29 km). Dominant crime head in Ramanagara: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
109,13.13857,78.13603,61,7295,Kolar,5.4,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~7,295 FIRs concentrated near Kolar (radius ~5.4 km). Dominant crime head in Kolar: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
84,12.96583,78.23525,146,7200,Kolar,9.4,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~7,200 FIRs concentrated near Kolar (radius ~9.4 km). Dominant crime head in Kolar: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
366,16.20783,77.35624,75,7108,Raichur,5.83,KARNATAKA POLICE ACT 1963,"~7,108 FIRs concentrated near Raichur (radius ~5.83 km). Dominant crime head in Raichur: Karnataka Police Act 1963. Prioritise patrol / resource deployment."
146,13.42393,77.72662,91,6643,Chikkaballapura,7.67,Karnataka State Local Act,"~6,643 FIRs concentrated near Chikkaballapura (radius ~7.67 km). Dominant crime head in Chikkaballapura: Karnataka State Local Act. Prioritise patrol / resource deployment."
287,15.14383,76.91187,75,6500,Ballari,5.9,KARNATAKA POLICE ACT 1963,"~6,500 FIRs concentrated near Ballari (radius ~5.9 km). Dominant crime head in Ballari: Karnataka Police Act 1963. Prioritise patrol / resource deployment."
150,13.40003,78.0497,38,6272,Chikkaballapura,4.65,Karnataka State Local Act,"~6,272 FIRs concentrated near Chikkaballapura (radius ~4.65 km). Dominant crime head in Chikkaballapura: Karnataka State Local Act. Prioritise patrol / resource deployment."
3,11.93351,76.94491,47,6122,Chamarajanagar,5.26,Karnataka State Local Act,"~6,122 FIRs concentrated near Chamarajanagar (radius ~5.26 km). Dominant crime head in Chamarajanagar: Karnataka State Local Act. Prioritise patrol / resource deployment."
139,13.34441,74.75393,130,6106,Udupi,7.38,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~6,106 FIRs concentrated near Udupi (radius ~7.38 km). Dominant crime head in Udupi: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
27,12.30998,76.28999,44,5955,Mysuru,4.64,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~5,955 FIRs concentrated near Mysuru (radius ~4.64 km). Dominant crime head in Mysuru: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
221,14.1697,75.02623,51,5814,Shivamogga,4.96,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~5,814 FIRs concentrated near Shivamogga (radius ~4.96 km). Dominant crime head in Shivamogga: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
308,15.4326,75.63861,72,5513,Gadag,5.63,KARNATAKA POLICE ACT 1963,"~5,513 FIRs concentrated near Gadag (radius ~5.63 km). Dominant crime head in Gadag: Karnataka Police Act 1963. Prioritise patrol / resource deployment."
207,13.95227,76.61028,35,5473,Chitradurga,5.49,MOTOR VEHICLE ACCIDENTS NON-FATAL,"~5,473 FIRs concentrated near Chitradurga (radius ~5.49 km). Dominant crime head in Chitradurga: Motor Vehicle Accidents Non-Fatal. Prioritise patrol / resource deployment."
