crime_subhead,cluster_id,n
Other Roads,12,6042
Simple Hurt,38,5137
National Highways,14,4937
State Highways,10,3698
"Information Technology Act 2000, 2009",19,3305
Women,7,3303
Security For Good Behaviour (Sec 107 ),28,3242
Of Automobiles - Of Two Wheelers,40,3143
Karnataka Excise Act 1965,20,2951
Street Gambling (87),24,2468
CHEATING,1,2346
Man,0,2114
Public Safety,3,2070
Gambling - Matka (78 Class C),23,1764
Security For Good Behaviour (Sec 110),27,1750
Others,32,1658
At Residential Premises,35,1392
Other Places,22,929
Criminal Intimidation,35,857
Cultivated/Processed,6,788
Rape,36,675
Other Items Not Included Above,34,669
Dowry Prohibition,35,666
Public Place,22,630
Mmdr (Mines & Minerals Regulation Development) Act 1957,20,605
Security For Good Behaviour (Sec 109),26,603
"Electronic Goods (Radio,TV,VCR,ACs,Office Automation Equipments)",34,599
Due To Other Causes,35,598
Synthetic,6,598
House Theft,34,592
In Other Places,35,556
Husband And Relative(S) In Law,35,499
Missing-Girl,35,434
Scheduled Caste,35,407
Land,36,396
Husband,35,370
Land Disputes,33,369
Jewellery,34,368
Private Place,22,357
At Commercial Places / Establishments,35,336
Due To OtherCauses,36,323
Of Sand,34,299
Chain Snatching,36,281
Cash,34,209
Other Govt Official,36,204
Missing-Boy,35,182
Preparation And Assembly For Dacoity,36,180
Mischief,17,174
"COTPA, Cigarettes and Other Tobacco Products",17,171
Police Personnel,31,167
Affray,17,167
Criminal Breach Of Trust,17,165
Human - Related,30,164
House,31,161
Karnataka Minor Mineral Consistent Rule 1994,25,159
Essential Commodites Act 1955,17,157
Assembly,17,156
Of Cattle,30,151
Temple Theft,30,151
Karnataka Cow Slaughter Act,25,144
Dowry Harasement,30,140
Scheduled Caste Women,30,131
Civil Disputes,30,129
Revenge/Enemity,30,128
Sudden Quarrel,31,128
Karnataka Open Place Disfigurement Act 1951,25,124
Of Automobiles - Of Cars/Jeeps,30,118
Abetment of Suicide,31,114
Other Reasons,31,99
Forgery,17,97
Known Person,17,94
Scheduled Tribes,30,87
Of Accessories Of Motor Vehicle,30,82
Other Local Acts,25,81
Attempting to commit offences,17,78
By Others,17,76
Karntaka Epidemic Diseases Act 2020,25,74
Disaster Management Act 2005,25,70
229 A,17,68
Organised,17,66
Of Cultural - Others,30,66
Communication And Elec.Wire,30,62
On Highways,31,58
Of Automobiles - Of Lorries/Trucks,30,57
Other Forgery,17,57
Of Automobiles - Of Three Wheelers,30,56
Attempt to commit suicide,31,54
PREVENTION OF DAMAGE TO PUBLIC PROPERTY,17,53
Prevention Of Cruelty To Animals Act 1960,17,51
Child Marriage (Restraint) Act 1929,17,51
Attempt To Commit,31,49
By Govt. Institution,17,48
Due To Personal Vendetta Or Enemity,31,47
Machinery - Related,30,46
Public Sector Undertaking Official,31,42
Death Due To Other Cause,17,41
Un-Organised,17,37
Scheduled Tribes Women,30,37
Karnataka Forest Act 1963,25,37
Religious Issue,17,35
At Banks,30,35
By Company,17,34
Political,30,33
Of Cycle,30,33
Juvenile Justice Act 1986,17,33
Girl,17,31
By Individual,17,31
Due To Sexual Jealousy,31,30
By Hanging,17,28
Karnataka Land & Revenue Act 1964 & 2007,25,28
Electrocution Accident,17,27
Child Labour (Prohibition & Regulation) Act 1986,17,27
Boy,17,27
Public Nuisance,17,27
Procuration Of Minor Girls - For Other Purpose,31,27
On Other Roads,31,27
Country Made - Non-Prohibited Bore - In Other Area,17,26
In Running Train,30,26
Agricultural Produce,17,26
For Ransom - Of Others,31,25
Other Elected Bodies,17,25
The Karnataka Prevention of Slaughter and Preservation of Cattle Ordinance 2020,17,23
Improper Infrastructure In Construction,17,23
By Relatives,17,23
Parliament,17,22
Offences Promoting Enemity,17,21
Death Caused By Electric Shock,30,21
Over Property Dispute,30,21
Love Intrigue,31,20
For gain,31,20
Country Made - Prohibited Bore- In Other Area,17,20
Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,25,20
Karnataka Prohibition Of Charging Exorbitant Interest Act 2004,25,19
Communal Issue,17,19
Due To PersonalVendetta or Enemity,31,19
Explosives Act 1884,17,19
By Husband And Relative/s In Law,17,17
Office,31,17
To Compel For Marriage,30,17
For Dowry Other Means,30,17
Karnataka Mining Act,25,17
Over Property Disputes,31,16
Attempt to Commit,30,16
FALSE EVIDENCE,17,16
By Neighbours,17,15
174 A,17,15
Foreigners Act 1946,17,14
Liquified Petroleum Gas Supply & Control Order 2000,17,14
Karnataka Lottery Act,25,14
For Political Reasons,30,14
Explosives Substances Act 1908,17,14
Explosive/Explosive Substances - Related,31,13
Of Automobiles - Of Tractors,30,13
Karnataka Money Lender Act 1961,25,12
OFFENCES RELATED TO MARRIAGE,17,12
Due To Village Disputes,30,12
For Ransom - Of Children,30,12
Agrarian,30,12
For Gain,30,12
Animal - Related,30,12
Factory Made - Prohibited Bore- In Other Area,17,11
Extortion,30,11
Relative(S) In Law,30,10
Regional,30,10
Indian,17,9
To Settle Dispute,17,9
By Husband,17,9
others,24,9
Due to Adultery,31,9
Karnataka Prisoners Act 1963 & 1974,25,8
Of Currency Notes And Bank Notes (Sec 489 (A) To 489 (E) IPC),17,8
For Dowry By Other Means,31,8
Wild Life Protection Act 1972,17,8
Industrial Accident(Factory),17,8
Factory Made - Non-Prohibited Bore - In Other Area,17,8
To Extort Property,17,7
In Trains,31,7
Dwelling House,17,7
Electrocution,17,6
From Police Custody,17,6
Indian Electricity Act,17,6
Rape With Murder,31,6
Persons,17,6
Child,17,6
Village Dispute,30,6
Regional Issue,17,6
Karnataka Private Medical Institution Act 2007,25,5
Karnataka Prohibition Of Beggary Act 1975,25,5
Adultery,30,5
On Man (General),17,5
Forest (Conservation) Act 1980,17,5
Karnataka Education Act 1983 As Amended Upto Date,25,5
By Burning,17,5
Due To Casteism,31,5
Of Automobiles - Of Buses,30,5
Over Civil Dispute,17,5
For Ransom - Of Women,31,4
From Lawful Guardianship,30,4
Jail Personnel,31,4
Of Cultural - Idols,30,4
By Other Means,17,4
Alcoholic Drink(Liquor),17,4
Religious Place,31,4
Servant Theft,30,4
Unknown Person,17,4
Prohibited Places,31,4
Poisonous Substance - Related,31,4
Labour - Public Sector,30,4
By Private Institution,17,4
Wrongful Confinement,31,3
Building Collapse,17,3
Caste,30,3
Communal,30,3
Judicial Official,31,3
Restricted Area,31,3
By A Gang,17,3
From Jail Custody,17,3
Bank,17,3
Recovering Loan,31,3
Labour - Private Sector,30,3
Related To Substantive Offence,17,3
Professional,31,3
Para Military Personnel,31,3
Due To Communalism,30,3
Karnataka Revenue Act,25,3
Non Fatal,17,3
Dowry,31,3
Country Made - Prohibited Bore - In Disturbed Area,17,3
Defence Personnel,31,3
RECEIVING OF STOLEN PROPERTY,17,2
By National,17,2
INDIAN MOTOR VEHICLE (IMV),17,2
Hotel,31,2
Govt. Vehicle,30,2
Forgery Of Passport,17,2
For Adoption,30,2
Fire Accident,17,2
Gang Rivalry,31,2
For Human Sacrifice,17,2
Karnataka Irrigation Act 1963,25,2
Indian Railways Act 1989,17,2
Govt. Property,17,2
Students,30,2
At ATM,30,2
Ancient Monument & Archaelogical Sites And Remains Act 1958,17,2
Electoral Gain,17,2
Industrial,30,2
Caused By Animal,17,2
Cattle Tresspass Act 1871,17,2
Country Made - Non Prohibited Bore - In Disturbed Area,17,2
Of Fire Arms,30,2
Caste Issue,17,2
Nationalised Bank Personnel,31,2
Karnataka Muncipalities Act 1964,25,2
On Minor,17,2
Protection of Civil Rights Act 1955,17,2
Protection of Children from Sexual Offences Act 2012 (POCSO),17,2
Prevention of Food Adulteration Act 1954,17,2
Printed Matter,17,2
Property Disputes,17,2
ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,17,2
Foreigner,17,1
For Ransom - of Girls For Immoral Purpose,30,1
Karnataka Kersosene Dealers License Order 1969,25,1
Karnataka Fire Force Act 1964,25,1
Factory Made - Non Prohibited Bore - In Disturbed Area,17,1
Factory Made - Prohibited Bore - In Disturbed Area,17,1
Inflammable Substances - Related,30,1
Intent To Steal From Child,30,1
Employee - Govt.,30,1
Explosion Accident,17,1
Industrial Establishment,17,1
Inflammable Substance,17,1
For Exporting,31,1
Improper Medical Treatment,17,1
MLA,31,1
OF ABETMENT,17,1
Obtain Signature Forcibly,30,1
Club,30,1
On Other Dignitaries/Public Figures,17,1
On Labourer,17,1
Of Others,17,1
Custodial Rape,17,1
Conspiracy To Wage War,17,1
Consumer (Protection) Act 1986,17,1
Custodial,31,1
Drug/Medicine,17,1
Karnataka Panchayat Raj Act,25,1
Karnataka Urban Developoment Act 1987,25,1
Linguistic Issue,17,1
Men,17,1
Other Government Organisation,17,1
On Woman (General),17,1
Place Of Worship,17,1
Political Issue,17,1
To Extort Confession,17,1
Quarry Accident,17,1
Public Justice,17,1
Property,17,1
Probation of offenders Act 1958,17,1
Other Elected Member,30,1
UNLAWFUL ACTIVITIES,17,1
By Husband During Separation,17,1
Video Film (Blue),17,1
Uniformed Authority,17,1
Banning of Unregulated Deposit Schemes Act,25,1
BONDED LABOUR SYSTEM,17,1
Bangalore Development Authority Act,25,1
Settling any Disputes,31,1
Wild Life Preservaion Act 1972,17,1
Woman,17,1
