cluster_id,size,share_pct,top_crime_head,head_purity,top_crime_subhead,top_section,top_districts,heinous_share,season_profile,time_profile,mo_description
35,5606,7.7,BURGLARY - NIGHT,0.267,At Residential Premises,457,Bengaluru Urban; Belagavi; Mysuru,0.279,Monsoon,Night,"Burglary - Night and related offences (mainly 'At Residential Premises', u/s 457), concentrated in Bengaluru Urban, Belagavi; mostly non-heinous, monsoon lean, estimated night time-of-day."
17,2750,3.8,MISCHIEF,0.063,Mischief,427,Bengaluru Urban; Mysuru; Belagavi,0.088,Monsoon,Distributed,"Mischief and related offences (mainly 'Mischief', u/s 427), concentrated in Bengaluru Urban, Mysuru; mostly non-heinous, monsoon lean, estimated distributed time-of-day."
36,2750,3.8,ROBBERY,0.215,Chain Snatching,392,Bengaluru Urban; Mysuru; Shivamogga,0.574,Monsoon,Night,"Robbery and related offences (mainly 'Chain Snatching', u/s 392), concentrated in Bengaluru Urban, Mysuru; largely heinous, monsoon lean, estimated night time-of-day."
34,2736,3.8,THEFT,1.0,Other Items Not Included Above,379,Bengaluru Urban; Karnataka Railways; Mysuru,0.118,Monsoon,Afternoon,"Theft (mainly 'Other Items Not Included Above', u/s 379), concentrated in Bengaluru Urban, Karnataka Railways; mostly non-heinous, monsoon lean, estimated afternoon time-of-day."
24,2476,3.4,KARNATAKA POLICE ACT 1963,1.0,Street Gambling (87),87,Tumakuru; Vijayapura; Chitradurga,0.0,Monsoon,Evening,"Karnataka Police Act 1963 (mainly 'Street Gambling (87)', u/s 87), concentrated in Tumakuru, Vijayapura; mostly non-heinous, monsoon lean, estimated evening time-of-day."
38,2410,3.3,CASES OF HURT,1.0,Simple Hurt,323,Mysuru; Mandya; Tumakuru,0.0,Monsoon,Distributed,"Cases Of Hurt (mainly 'Simple Hurt', u/s 323), concentrated in Mysuru, Mandya; mostly non-heinous, monsoon lean, estimated distributed time-of-day."
20,2280,3.1,Karnataka State Local Act,1.0,Karnataka Excise Act 1965,32(3),Belagavi; Tumakuru; Chitradurga,0.0,Monsoon,Distributed,"Karnataka State Local Act (mainly 'Karnataka Excise Act 1965', u/s 32(3)), concentrated in Belagavi, Tumakuru; mostly non-heinous, monsoon lean, estimated distributed time-of-day."
28,2276,3.1,CrPC,1.0,Security For Good Behaviour (Sec 107 ),107,Shivamogga; Belagavi; Hassan,0.0,Summer,Distributed,"Crpc (mainly 'Security For Good Behaviour (Sec 107 )', u/s 107), concentrated in Shivamogga, Belagavi; mostly non-heinous, summer lean, estimated distributed time-of-day."
7,2238,3.1,MISSING PERSON,1.0,Women,00M,Mysuru; Bengaluru Rural; Shivamogga,0.0,Monsoon,Distributed,"Missing Person (mainly 'Women', u/s 00M), concentrated in Mysuru, Bengaluru Rural; mostly non-heinous, monsoon lean, estimated distributed time-of-day."
14,2166,3.0,MOTOR VEHICLE ACCIDENTS NON-FATAL,1.0,National Highways,279,Tumakuru; Mandya; Dakshina Kannada,0.001,Monsoon,Evening,"Motor Vehicle Accidents Non-Fatal (mainly 'National Highways', u/s 279), concentrated in Tumakuru, Mandya; mostly non-heinous, monsoon lean, estimated evening time-of-day."
0,2114,2.9,MISSING PERSON,1.0,Man,00M,Bengaluru Urban; Mysuru; Bengaluru Rural,0.002,Monsoon,Distributed,"Missing Person (mainly 'Man', u/s 00M), concentrated in Bengaluru Urban, Mysuru; mostly non-heinous, monsoon lean, estimated distributed time-of-day."
3,2070,2.8,PUBLIC SAFETY,1.0,Public Safety,283,Bengaluru Urban; Chitradurga; Vijayapura,0.0,Monsoon,Evening,"Public Safety (mainly 'Public Safety', u/s 283), concentrated in Bengaluru Urban, Chitradurga; mostly non-heinous, monsoon lean, estimated evening time-of-day."
30,2035,2.8,THEFT,0.349,Of Cattle,379,Bengaluru Urban; Mandya; Belagavi,0.252,Monsoon,Afternoon,"Theft and related offences (mainly 'Of Cattle', u/s 379), concentrated in Bengaluru Urban, Mandya; mostly non-heinous, monsoon lean, estimated afternoon time-of-day."
12,1941,2.7,MOTOR VEHICLE ACCIDENTS NON-FATAL,1.0,Other Roads,337,Bengaluru Urban; Bengaluru Rural; Belagavi,0.001,Monsoon,Evening,"Motor Vehicle Accidents Non-Fatal (mainly 'Other Roads', u/s 337), concentrated in Bengaluru Urban, Bengaluru Rural; mostly non-heinous, monsoon lean, estimated evening time-of-day."
22,1916,2.6,MOLESTATION,1.0,Other Places,354,Bengaluru Urban; Shivamogga; Belagavi,0.002,Monsoon,Distributed,"Molestation (mainly 'Other Places', u/s 354), concentrated in Bengaluru Urban, Shivamogga; mostly non-heinous, monsoon lean, estimated distributed time-of-day."
15,1899,2.6,MOTOR VEHICLE ACCIDENTS NON-FATAL,1.0,Other Roads,279,Bengaluru Urban; Mysuru; Mandya,0.0,Winter,Evening,"Motor Vehicle Accidents Non-Fatal (mainly 'Other Roads', u/s 279), concentrated in Bengaluru Urban, Mysuru; mostly non-heinous, winter lean, estimated evening time-of-day."
37,1878,2.6,CASES OF HURT,1.0,Simple Hurt,323,Bidar; Mysuru; Shivamogga,0.0,Monsoon,Distributed,"Cases Of Hurt (mainly 'Simple Hurt', u/s 323), concentrated in Bidar, Mysuru; mostly non-heinous, monsoon lean, estimated distributed time-of-day."
23,1765,2.4,KARNATAKA POLICE ACT 1963,1.0,Gambling - Matka (78 Class C),78(3),Belagavi; Kalaburagi; Raichur,0.0,Monsoon,Evening,"Karnataka Police Act 1963 (mainly 'Gambling - Matka (78 Class C)', u/s 78(3)), concentrated in Belagavi, Kalaburagi; mostly non-heinous, monsoon lean, estimated evening time-of-day."
19,1661,2.3,CYBER CRIME,1.0,"Information Technology Act 2000, 2009",420,Bengaluru Urban; Mysuru; Bengaluru Rural,0.0,Monsoon,Distributed,"Cyber Crime (mainly 'Information Technology Act 2000, 2009', u/s 420), concentrated in Bengaluru Urban, Mysuru; mostly non-heinous, monsoon lean, estimated distributed time-of-day."
18,1644,2.3,CYBER CRIME,1.0,"Information Technology Act 2000, 2009",66(D),Bengaluru Urban; Dharwad; Dakshina Kannada,0.0,Monsoon,Distributed,"Cyber Crime (mainly 'Information Technology Act 2000, 2009', u/s 66(D)), concentrated in Bengaluru Urban, Dharwad; mostly non-heinous, monsoon lean, estimated distributed time-of-day."
10,1523,2.1,MOTOR VEHICLE ACCIDENTS NON-FATAL,1.0,State Highways,279,Belagavi; Hassan; Mysuru,0.001,Monsoon,Evening,"Motor Vehicle Accidents Non-Fatal (mainly 'State Highways', u/s 279), concentrated in Belagavi, Hassan; mostly non-heinous, monsoon lean, estimated evening time-of-day."
5,1399,1.9,MOTOR VEHICLE ACCIDENTS FATAL,1.0,Other Roads,279,Bengaluru Urban; Belagavi; Mysuru,0.979,Monsoon,Evening,"Motor Vehicle Accidents Fatal (mainly 'Other Roads', u/s 279), concentrated in Bengaluru Urban, Belagavi; largely heinous, monsoon lean, estimated evening time-of-day."
11,1387,1.9,MOTOR VEHICLE ACCIDENTS FATAL,1.0,National Highways,279,Bengaluru Rural; Tumakuru; Ramanagara,0.982,Monsoon,Evening,"Motor Vehicle Accidents Fatal (mainly 'National Highways', u/s 279), concentrated in Bengaluru Rural, Tumakuru; largely heinous, monsoon lean, estimated evening time-of-day."
6,1386,1.9,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,1.0,Cultivated/Processed,27(b),Bengaluru Urban; Dakshina Kannada; Shivamogga,0.029,Monsoon,Night,"Narcotic Drugs & Pshycotropic Substances (mainly 'Cultivated/Processed', u/s 27(b)), concentrated in Bengaluru Urban, Dakshina Kannada; mostly non-heinous, monsoon lean, estimated night time-of-day."
13,1384,1.9,MOTOR VEHICLE ACCIDENTS NON-FATAL,1.0,National Highways,337,Bengaluru Rural; Chitradurga; Dakshina Kannada,0.0,Summer,Evening,"Motor Vehicle Accidents Non-Fatal (mainly 'National Highways', u/s 337), concentrated in Bengaluru Rural, Chitradurga; mostly non-heinous, summer lean, estimated evening time-of-day."
40,1384,1.9,THEFT,1.0,Of Automobiles - Of Two Wheelers,379,Bengaluru Rural; Mysuru; Belagavi,0.0,Monsoon,Afternoon,"Theft (mainly 'Of Automobiles - Of Two Wheelers', u/s 379), concentrated in Bengaluru Rural, Mysuru; mostly non-heinous, monsoon lean, estimated afternoon time-of-day."
27,1375,1.9,CrPC,1.0,Security For Good Behaviour (Sec 110),110(E),Bengaluru Urban; Mandya; Tumakuru,0.001,Summer,Distributed,"Crpc (mainly 'Security For Good Behaviour (Sec 110)', u/s 110(E)), concentrated in Bengaluru Urban, Mandya; mostly non-heinous, summer lean, estimated distributed time-of-day."
1,1343,1.8,CHEATING,1.0,CHEATING,420,Bengaluru Urban; Bengaluru Rural; Shivamogga,0.006,Monsoon,Distributed,"Cheating (mainly 'Cheating', u/s 420), concentrated in Bengaluru Urban, Bengaluru Rural; mostly non-heinous, monsoon lean, estimated distributed time-of-day."
21,1276,1.8,Karnataka State Local Act,1.0,Karnataka Excise Act 1965,15(A),Mandya; Mysuru; Chikkaballapura,0.002,Summer,Distributed,"Karnataka State Local Act (mainly 'Karnataka Excise Act 1965', u/s 15(A)), concentrated in Mandya, Mysuru; mostly non-heinous, summer lean, estimated distributed time-of-day."
31,1165,1.6,SUICIDE,0.185,Abetment of Suicide,306,Bengaluru Urban; Mysuru; Bengaluru Rural,0.375,Monsoon,Distributed,"Suicide and related offences (mainly 'Abetment Of Suicide', u/s 306), concentrated in Bengaluru Urban, Mysuru; mostly non-heinous, monsoon lean, estimated distributed time-of-day."
32,1124,1.5,RIOTS,1.0,n/a,143,Belagavi; Kalaburagi; Shivamogga,0.004,Summer,Evening,"Riots (mainly 'N/A', u/s 143), concentrated in Belagavi, Kalaburagi; mostly non-heinous, summer lean, estimated evening time-of-day."
4,1105,1.5,MOTOR VEHICLE ACCIDENTS FATAL,1.0,State Highways,279,Belagavi; Bagalkote; Tumakuru,0.986,Monsoon,Evening,"Motor Vehicle Accidents Fatal (mainly 'State Highways', u/s 279), concentrated in Belagavi, Bagalkote; largely heinous, monsoon lean, estimated evening time-of-day."
9,1070,1.5,MOTOR VEHICLE ACCIDENTS NON-FATAL,1.0,State Highways,337,Belagavi; Shivamogga; Bengaluru Rural,0.0,Monsoon,Evening,"Motor Vehicle Accidents Non-Fatal (mainly 'State Highways', u/s 337), concentrated in Belagavi, Shivamogga; mostly non-heinous, monsoon lean, estimated evening time-of-day."
8,1065,1.5,MISSING PERSON,1.0,Women,00M,Bengaluru Urban,0.0,Monsoon,Distributed,"Missing Person (mainly 'Women', u/s 00M), concentrated in Bengaluru Urban; mostly non-heinous, monsoon lean, estimated distributed time-of-day."
2,1003,1.4,CHEATING,1.0,CHEATING,406,Bengaluru Urban; Mysuru; Bengaluru Rural,0.002,Monsoon,Distributed,"Cheating (mainly 'Cheating', u/s 406), concentrated in Bengaluru Urban, Mysuru; mostly non-heinous, monsoon lean, estimated distributed time-of-day."
26,978,1.3,CrPC,1.0,Security For Good Behaviour (Sec 109),109,Bengaluru Urban; Bidar; Haveri,0.002,Summer,Distributed,"Crpc (mainly 'Security For Good Behaviour (Sec 109)', u/s 109), concentrated in Bengaluru Urban, Bidar; mostly non-heinous, summer lean, estimated distributed time-of-day."
29,966,1.3,CrPC,1.0,Security For Good Behaviour (Sec 107 ),107,Chamarajanagar; Kodagu; Yadgir,0.0,Summer,Distributed,"Crpc (mainly 'Security For Good Behaviour (Sec 107 )', u/s 107), concentrated in Chamarajanagar, Kodagu; mostly non-heinous, summer lean, estimated distributed time-of-day."
33,903,1.2,KIDNAPPING AND ABDUCTION,0.451,n/a,363,Bengaluru Urban; Belagavi; Haveri,0.037,Monsoon,Distributed,"Kidnapping And Abduction and related offences (mainly 'N/A', u/s 363), concentrated in Bengaluru Urban, Belagavi; mostly non-heinous, monsoon lean, estimated distributed time-of-day."
41,892,1.2,THEFT,1.0,Of Automobiles - Of Two Wheelers,379,Bengaluru Urban,0.0,Monsoon,Afternoon,"Theft (mainly 'Of Automobiles - Of Two Wheelers', u/s 379), concentrated in Bengaluru Urban; mostly non-heinous, monsoon lean, estimated afternoon time-of-day."
42,867,1.2,THEFT,1.0,Of Automobiles - Of Two Wheelers,379,Bengaluru Urban,0.0,Monsoon,Afternoon,"Theft (mainly 'Of Automobiles - Of Two Wheelers', u/s 379), concentrated in Bengaluru Urban; mostly non-heinous, monsoon lean, estimated afternoon time-of-day."
39,849,1.2,CASES OF HURT,1.0,Simple Hurt,324,Bengaluru Urban,0.0,Monsoon,Distributed,"Cases Of Hurt (mainly 'Simple Hurt', u/s 324), concentrated in Bengaluru Urban; mostly non-heinous, monsoon lean, estimated distributed time-of-day."
