canonical_name,kgis_code,population,predicted_next,risk_score,risk_tier,top_drivers
Bengaluru Urban,20,9621551,96372,100.0,Critical,seasonal volatility; violent-crime concentration; property-crime concentration
Bengaluru Rural,21,990923,13648,52.6,Critical,property-crime concentration; seasonal volatility; rising multi-year trend
Belagavi,01,4779661,10232,45.6,Critical,seasonal volatility; rising cybercrime mix; sharp year-on-year growth
Mysuru,26,3001127,10007,45.0,Critical,seasonal volatility; sharp year-on-year growth; traffic-incident load
Tumakuru,18,2678980,9710,44.3,Critical,seasonal volatility; rising multi-year trend; rising cybercrime mix
Kalaburagi,04,2566326,7318,37.4,High,seasonal volatility; property-crime concentration; rising multi-year trend
Shivamogga,15,1752753,7318,37.4,High,seasonal volatility; sharp year-on-year growth; elevated prior-year volume
Hassan,23,1776421,7169,36.9,High,seasonal volatility; rising cybercrime mix; sharp year-on-year growth
Davanagere,14,1945497,6708,35.3,High,seasonal volatility; property-crime concentration; rising cybercrime mix
Mandya,22,1805769,6672,35.2,High,seasonal volatility; sharp year-on-year growth; violent-crime concentration
Chitradurga,13,1659456,6383,34.1,High,seasonal volatility; traffic-incident load; violent-crime concentration
Ramanagara,29,1082636,6327,33.9,High,seasonal volatility; sharp year-on-year growth; rising cybercrime mix
Dakshina Kannada,24,2089649,5945,32.4,Moderate,seasonal volatility; elevated prior-year volume; traffic-incident load
Dharwad,09,1847023,5575,30.8,Moderate,seasonal volatility; sharp year-on-year growth; elevated prior-year volume
Kolar,19,1536401,5327,29.7,Moderate,seasonal volatility; rising multi-year trend; large population base
Vijayapura,03,2177331,5307,29.6,Moderate,seasonal volatility; sharp year-on-year growth; rising cybercrime mix
Chikkamagaluru,17,1137961,4864,27.5,Moderate,seasonal volatility; sharp year-on-year growth; rising cybercrime mix
Bidar,05,1703300,4813,27.3,Moderate,seasonal volatility; sharp year-on-year growth; high recent volume
Chikkaballapura,28,1255104,4788,27.2,Moderate,seasonal volatility; sharp year-on-year growth; high recent volume
Raichur,06,1928812,4710,26.7,Moderate,seasonal volatility; sharp year-on-year growth; violent-crime concentration
Haveri,11,1597668,4559,26.0,Low,seasonal volatility; property-crime concentration; rising cybercrime mix
Ballari,12,2452595,4249,24.3,Low,seasonal volatility; rising cybercrime mix; sharp year-on-year growth
Uttara Kannada,10,1437169,4096,23.4,Low,seasonal volatility; sharp year-on-year growth; traffic-incident load
Bagalkote,02,1889752,3785,21.5,Low,seasonal volatility; high per-capita crime rate; elevated prior-year volume
Udupi,16,1177361,3746,21.2,Low,seasonal volatility; violent-crime concentration; traffic-incident load
Vijayanagara,31,,3691,20.8,Low,seasonal volatility; sharp year-on-year growth; high per-capita crime rate
Koppal,07,1389920,3186,17.3,Low,seasonal volatility; sharp year-on-year growth; high per-capita crime rate
Chamarajanagar,27,1020791,2877,14.8,Low,seasonal volatility; rising cybercrime mix; large population base
Gadag,08,1064570,2574,12.1,Low,seasonal volatility; large population base; traffic-incident load
Yadgir,30,1174271,2330,9.7,Low,seasonal volatility; high per-capita crime rate; violent-crime concentration
Kodagu,25,554519,2174,8.0,Low,seasonal volatility; large population base; traffic-incident load
