census_code_2011,district,district_2011_name,population_2011,crimes_per_100k,total_crimes_all_years,literacy_rate,urban_share,sc_share,st_share,sex_ratio_f_per_1000m
583,Bengaluru Rural,Bangalore Rural,990923,6459.0,64004,0.6951,0.2712,0.2157,0.0534,946.1
572,Bengaluru Urban,Bangalore,9621551,4421.4,425408,0.7808,0.9094,0.1246,0.0198,915.6
584,Ramanagara,Ramanagara,1082636,4085.6,44232,0.6233,0.2473,0.1883,0.0212,975.6
568,Shivamogga,Shimoga,1752753,3499.5,61338,0.7206,0.3559,0.1758,0.0373,997.6
576,Kodagu,Kodagu,554519,3470.9,19247,0.7446,0.1461,0.1327,0.1047,1019.3
573,Mandya,Mandya,1805769,3306.1,59701,0.6367,0.1708,0.1469,0.0124,995.1
574,Hassan,Hassan,1776421,3279.4,58256,0.6897,0.2121,0.1942,0.0182,1010.3
570,Chikkamagaluru,Chikmagalur,1137961,3118.3,35485,0.7191,0.2105,0.2229,0.0395,1008.3
582,Chikkaballapura,Chikkaballapura,1255104,2911.7,36545,0.624,0.224,0.249,0.1247,972.1
566,Chitradurga,Chitradurga,1659456,2877.7,47754,0.6553,0.1986,0.2345,0.1823,973.6
577,Mysuru,Mysore,3001127,2702.6,81109,0.6538,0.415,0.1788,0.1115,985.4
575,Dakshina Kannada,Dakshina Kannada,2089649,2520.5,52669,0.7974,0.4767,0.0709,0.0394,1019.5
569,Udupi,Udupi,1177361,2414.8,28431,0.7869,0.2837,0.0641,0.0449,1094.5
571,Tumakuru,Tumkur,2678980,2297.6,61553,0.6769,0.2236,0.1892,0.0782,983.6
563,Uttara Kannada,Uttara Kannada,1437169,2274.6,32690,0.7528,0.2915,0.081,0.0238,978.9
578,Chamarajanagar,Chamarajanagar,1020791,2257.4,23043,0.5538,0.1714,0.2542,0.1178,992.8
558,Bidar,Bidar,1703300,2222.8,37861,0.6121,0.2501,0.2347,0.1385,956.3
565,Ballari,Bellary,2452595,2211.6,54241,0.5796,0.3752,0.211,0.1841,982.8
581,Kolar,Kolar,1536401,2206.7,33904,0.6614,0.3125,0.3032,0.0513,978.9
562,Dharwad,Dharwad,1847023,2109.0,38953,0.7047,0.5682,0.0963,0.0474,970.8
579,Kalaburagi,Gulbarga,2566326,2009.6,51574,0.5562,0.3256,0.2528,0.0254,971.4
567,Davanagere,Davanagere,1945497,2006.7,39041,0.6726,0.3233,0.2018,0.1198,972.3
559,Raichur,Raichur,1928812,1892.1,36496,0.508,0.2542,0.2079,0.1903,999.8
564,Haveri,Haveri,1597668,1863.4,29771,0.6794,0.2225,0.1377,0.0885,950.4
557,Vijayapura,Bijapur,2177331,1814.5,39508,0.5733,0.2305,0.2034,0.0181,959.8
560,Koppal,Koppal,1389920,1793.3,24926,0.5821,0.1681,0.1861,0.1182,985.8
561,Gadag,Gadag,1064570,1738.0,18502,0.6577,0.3563,0.1636,0.0579,981.9
555,Belagavi,Belgaum,4779661,1683.1,80446,0.6385,0.2534,0.1208,0.0622,972.6
580,Yadgir,Yadgir,1174271,1661.5,19511,0.4343,0.1879,0.2328,0.1251,989.2
556,Bagalkote,Bagalkot,1889752,1488.2,28123,0.5892,0.3164,0.1689,0.0514,989.0
